drug_name,smiles,tokens
fentanyl,CCC(=O)N(C1CCN(CCC2=CC=CC=C2)CC1)C1=CC=CC=C1,"['CC', 'C(=O)N(', 'C1CCN(', 'CCC2', '=', 'CC=', 'CC', '=C', '2)', 'CC1)', 'C1=', 'CC=', 'CC', '=C1']"
indomethacin,COC1=CC2=C(C=C1)N(C(=O)C1=CC=C(Cl)C=C1)C(C)=C2CC(O)=O,"['CO', 'C1=', 'CC2', '=C(', 'C=', 'C1)', 'N(C(=O)', 'C1=', 'CC', '=C(', 'Cl)', 'C=', 'C1)', 'C(C)', '=C2', 'CC(O)', '=O']"
bexarotene,CC1=CC2=C(C=C1C(=C)C1=CC=C(C=C1)C(O)=O)C(C)(C)CCC2(C)C,"['CC1=', 'CC2', '=C(', 'C=C1', 'C(=C)', 'C1=', 'CC', '=C(', 'C=', 'C1)', 'C(O)=O)', 'C(C)(C)', 'CCC2', '(C)C']"
trimetrexate,COC1=CC(NCC2=C(C)C3=C(C=C2)N=C(N)N=C3N)=CC(OC)=C1OC,"['CO', 'C1=', 'CC(N', 'CC2', '=C(C)', 'C3=C(', 'C=C', '2)', 'N=C(N)N', '=C3', 'N)', '=', 'CC(', 'OC)', '=C1', 'OC']"
chloramphenicol,OC[C@@H](NC(=O)C(Cl)Cl)[C@H](O)C1=CC=C(C=C1)[N+]([O-])=O,"['OC', '[C@@H](NC(=O)', 'C(Cl)', 'Cl)', '[C@H](O)', 'C1=', 'CC', '=C(', 'C=', 'C1)', '[N+]([O-])=O']"
abiraterone,[H][C@@]12CC=C(C3=CC=CN=C3)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CC=C2C[C@@H](O)CC[C@]12C,"['[H]', '[C@@]12', 'CC', '=C(', 'C3=', 'CC=', 'CN', '=C', '3)', '[C@@]1(C)CC', '[C@@]1(', '[H]', ')', '[C@@]2(', '[H]', ')', 'CC', '=C2', 'C[C@@H](O)', 'CC', '[C@]12C']"
lenalidomide,NC1=CC=CC2=C1CN(C1CCC(=O)NC1=O)C2=O,"['N', 'C1=', 'CC=', 'CC2', '=C1', 'CN(', 'C1', 'CCC(=O)N', 'C1=O)', 'C2=O']"
ergometrine,[H][C@@]12CC3=CNC4=CC=CC(=C34)C1=C[C@H](CN2C)C(=O)N[C@@H](C)CO,"['[H]', '[C@@]12', 'CC3', '=', 'CN', 'C4', '=', 'CC=', 'CC(', '=C3', '4)', 'C1=C', '[C@H](', 'CN2', 'C)', 'C(=O)N[C@@H](C)', 'CO']"
minocycline,[H][C@@]12CC3=C(C(O)=CC=C3N(C)C)C(=O)C1=C(O)[C@]1(O)C(=O)C(C(N)=O)=C(O)[C@@H](N(C)C)[C@]1([H])C2,"['[H]', '[C@@]12', 'CC3', '=C(', 'C(O)', '=', 'CC', '=C3', 'N(C)C)', 'C(=O)', 'C1=C(O)', '[C@]1(O)', 'C(=O)C(', 'C(N)=O)', '=C(O)', '[C@@H](', 'N(C)C)', '[C@]1(', '[H]', ')', 'C2']"
itraconazole,CCC(C)N1N=CN(C1=O)C1=CC=C(C=C1)N1CCN(CC1)C1=CC=C(OC[C@H]2CO[C@@](CN3C=NC=N3)(O2)C2=C(Cl)C=C(Cl)C=C2)C=C1,"['CCC(C)', 'N1', 'N=C', 'N(', 'C1=O)', 'C1=', 'CC', '=C(', 'C=', 'C1)', 'N1CCN(', 'CC1)', 'C1=', 'CC', '=C(', 'OC[C@H]2', 'CO', '[C@@](', 'CN3', 'C=N', 'C=N', '3)', '(O', '2)', 'C2=C(', 'Cl)', 'C=C(', 'Cl)', 'C=C', '2)', 'C=C1']"
vibegron,[H][C@@]1(CC[C@@H](CC2=CC=C(NC(=O)[C@@H]3CCC4=NC=CC(=O)N34)C=C2)N1)[C@H](O)C1=CC=CC=C1,"['[H]', '[C@@]1(', 'CC[C@@H](', 'CC2', '=', 'CC', '=C(', 'NC(=O)', '[C@@H]3', 'CCC4', '=N', 'C=', 'CC(=O)N3', '4)', 'C=C', '2)', 'N1)', '[C@H](O)', 'C1=', 'CC=', 'CC', '=C1']"
apraclonidine,NC1=CC(Cl)=C(NC2=NCCN2)C(Cl)=C1,"['N', 'C1=', 'CC(', 'Cl)', '=C(N', 'C2=N', 'CCN', '2)', 'C(Cl)', '=C1']"
stanozolol,[H][C@@]12CC[C@](C)(O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CC[C@@]2([H])CC3=NNC=C3C[C@]12C,"['[H]', '[C@@]12', 'CC', '[C@](C)(O)', '[C@@]1(C)CC', '[C@@]1(', '[H]', ')', '[C@@]2(', '[H]', ')', 'CC', '[C@@]2(', '[H]', ')', 'CC3', '=N', 'NC', '=C3', 'C[C@]12', 'C']"
vardenafil,CCCC1=NC(C)=C2N1NC(=NC2=O)C1=C(OCC)C=CC(=C1)S(=O)(=O)N1CCN(CC)CC1,"['CCCC1', '=N', 'C(C)', '=C2', 'N1', 'NC(', '=N', 'C2=O)', 'C1=C(', 'OCC)', 'C=CC(', '=', 'C1)', 'S(=O)(=O)', 'N1CCN(', 'CC)', 'CC1']"
methsuximide,CN1C(=O)CC(C)(C1=O)C1=CC=CC=C1,"['CN1C(=O)', 'CC(C)(', 'C1=O)', 'C1=', 'CC=', 'CC', '=C1']"
nifedipine,COC(=O)C1=C(C)NC(C)=C(C1C1=CC=CC=C1[N+]([O-])=O)C(=O)OC,"['COC(=O)', 'C1=C(C)N', 'C(C)=C(', 'C1', 'C1=', 'CC=', 'CC', '=C1', '[N+]([O-])=O)', 'C(=O)OC']"
belinostat,ONC(=O)\C=C\C1=CC=CC(=C1)S(=O)(=O)NC1=CC=CC=C1,"['O', 'NC(=O)', '\\', 'C=C\\', 'C1=', 'CC=', 'CC(', '=', 'C1)', 'S(=O)(=O)N', 'C1=', 'CC=', 'CC', '=C1']"
lincomycin,[H][C@]1(C[C@@H](CCC)CN1C)C(=O)N[C@H]([C@@H](C)O)[C@H]1O[C@H](SC)[C@H](O)[C@@H](O)[C@H]1O,"['[H]', '[C@]1(', 'C[C@@H](', 'CCC)', 'CN1', 'C)', 'C(=O)N[C@H](', '[C@@H](C)O)', '[C@H]1', 'O[C@H](', 'SC)', '[C@H](O)[C@@H](O)', '[C@H]1O']"
ziconotide,[H][C@]12CSSC[C@]3([H])NC(=O)[C@H](CCCCN)NC(=O)[C@H](C)NC(=O)CNC(=O)[C@H](CCCCN)NC(=O)CNC(=O)[C@H](CCCCN)NC(=O)[C@@H](N)CSSC[C@]([H])(NC(=O)[C@]([H])(CSSC[C@H](NC(=O)[C@H](CCCCN)NC(=O)CNC(=O)[C@H](CO)NC(=O)[C@H](CCCNC(N)=N)NC1=O)C(N)=O)NC(=O)[C@H](CC(O)=O)NC(=O)[C@H](CC1=CC=C(O)C=C1)NC(=O)[C@H](CCSC)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CCCNC(N)=N)NC(=O)[C@H](CO)NC3=O)C(=O)N[C@@]([H])([C@@H](C)O)C(=O)NCC(=O)N[C@@H](CO)C(=O)N2,"['[H]', '[C@]12', 'CS', 'SC', '[C@]3(', '[H]', ')', 'NC(=O)[C@H](', 'CCCCN)', 'NC(=O)', '[C@H](C)', 'NC(=O)', 'CNC(=O)', '[C@H](', 'CCCCN)', 'NC(=O)', 'CNC(=O)', '[C@H](', 'CCCCN)', 'NC(=O)', '[C@@H](N)', 'CS', 'SC', '[C@](', '[H]', ')', '(', 'NC(=O)', '[C@](', '[H]', ')', '(', 'CS', 'S', 'C[C@H](', 'NC(=O)[C@H](', 'CCCCN)', 'NC(=O)', 'CNC(=O)', '[C@H](CO)', 'NC(=O)[C@H](', 'CCCN', 'C(N)', '=N)N', 'C1=O)', 'C(N)=O)', 'NC(=O)[C@H](', 'CC(O)=O)', 'NC(=O)[C@H](', 'CC1=', 'CC', '=C(O)', 'C=', 'C1)', 'NC(=O)[C@H](', 'CCSC)', 'NC(=O)[C@H](CC(C)C)', 'NC(=O)[C@H](', 'CCCN', 'C(N)=N)', 'NC(=O)[C@H](', 'CO)', 'N', 'C3=O)', 'C(=O)N', '[C@@](', '[H]', ')', '(', '[C@@H](C)O)', 'C(=O)N', 'CC(=O)N', '[C@@H](CO)', 'C(=O)N2']"
famotidine,NC(N)=NC1=NC(CSCCC(N)=NS(N)(=O)=O)=CS1,"['NC(N)', '=N', 'C1=N', 'C(CS', 'CCC(N)', '=N', 'S(N)(=O)=O)', '=C', 'S1']"
bromfenac,NC1=C(CC(O)=O)C=CC=C1C(=O)C1=CC=C(Br)C=C1,"['N', 'C1=C(', 'CC(O)=O)', 'C=', 'CC', '=C1', 'C(=O)', 'C1=', 'CC', '=C(', 'Br)', 'C=C1']"
mitomycin,[H][C@]12CN3C4=C([C@@H](COC(N)=O)[C@@]3(OC)[C@@]1([H])N2)C(=O)C(N)=C(C)C4=O,"['[H]', '[C@]12', 'CN3', 'C4', '=C(', '[C@@H](CO', 'C(N)=O)', '[C@@]3(', 'OC)', '[C@@]1(', '[H]', ')', 'N2)', 'C(=O)', 'C(N)', '=C(C)', 'C4', '=O']"
gemfibrozil,CC1=CC(OCCCC(C)(C)C(O)=O)=C(C)C=C1,"['CC1=', 'CC(', 'OCCCC', '(C)(C)', 'C(O)=O)', '=C(C)', 'C=C1']"
aurothioglucose,OC[C@H]1O[C@H](S[Au])[C@H](O)[C@@H](O)[C@@H]1O,"['OC[C@H]1', 'O[C@H](', 'S', '[Au]', ')', '[C@H](O)[C@@H](O)', '[C@@H]1O']"
tirofiban,CCCCS(=O)(=O)N[C@@H](CC1=CC=C(OCCCCC2CCNCC2)C=C1)C(O)=O,"['CCCC', 'S(=O)(=O)N', '[C@@H](', 'CC1=', 'CC', '=C(', 'OCCCC', 'C2', 'CCNCC2)', 'C=', 'C1)', 'C(O)=O']"
zafirlukast,COC1=CC(=CC=C1CC1=CN(C)C2=C1C=C(NC(=O)OC1CCCC1)C=C2)C(=O)NS(=O)(=O)C1=CC=CC=C1C,"['CO', 'C1=', 'CC(', '=', 'CC', '=C1', 'CC1=', 'CN(C)', 'C2', '=C1', 'C=C(', 'NC(=O)', 'O', 'C1CCCC1)', 'C=C', '2)', 'C(=O)NS(=O)(=O)', 'C1=', 'CC=', 'CC', '=C1', 'C']"
amobarbital,CCC1(CCC(C)C)C(=O)NC(=O)NC1=O,"['CCC1(', 'CCC(C)C)', 'C(=O)NC(=O)N', 'C1=O']"
thiothixene,CN(C)S(=O)(=O)C1=CC2=C(SC3=CC=CC=C3\C2=C\CCN2CCN(C)CC2)C=C1,"['CN(C)S(=O)(=O)', 'C1=', 'CC2', '=C(', 'S', 'C3=', 'CC=', 'CC', '=C3', '\\', 'C2', '=C\\', 'CCN2', 'CCN(C)CC2)', 'C=C1']"
chlorpromazine,CN(C)CCCN1C2=CC=CC=C2SC2=C1C=C(Cl)C=C2,"['CN(C)', 'CCCN1', 'C2=', 'CC=', 'CC', '=C2', 'S', 'C2', '=C1', 'C=C(', 'Cl)', 'C=C2']"
