drug_name,tokens,labels
icatibant,"['[H]', '[C@]12C', '[C@](', '[H]', ')', '(', 'N(C(=O)', '[C@@]3(', '[H]', ')', 'CC4', '=C(', 'CN3', 'C(=O)', '[C@H](CO)', 'NC(=O)[C@H](', 'CC3', '=', 'CC', '=C', 'S', '3)', 'NC(=O)', 'CNC(=O)', '[C@]3(', '[H]', ')', 'C[C@@H](O)', 'CN3', 'C(=O)', '[C@@H]3', 'CCCN3', 'C(=O)[C@H](', 'CCCN', 'C(N)=N)', 'NC(=O)[C@H](', 'N)', 'CCCN', 'C(N)=N)', 'C=', 'CC', '=C', '4)', '[C@@]1(', '[H]', ')', 'CCCC2)', 'C(=O)N[C@@H](', 'CCCN', 'C(N)=N)', 'C(O)=O']","[917, 889, 880, 917, 59, 31, 594, 830, 917, 59, 385, 94, 539, 146, 849, 655, 382, 92, 324, 93, 742, 78, 646, 543, 894, 917, 59, 567, 539, 146, 810, 452, 187, 444, 224, 655, 606, 444, 224, 311, 324, 93, 82, 818, 917, 59, 424, 174, 444, 224, 234]"
loratadine,"['CCO', 'C(=O)N1CCC(', 'CC1)', '=C1', 'C2=C(', 'CCC3', '=C1', 'N=', 'CC', '=C', '3)', 'C=C(', 'Cl)', 'C=C2']","[491, 158, 369, 106, 287, 412, 106, 634, 324, 93, 78, 313, 584, 317]"
boceprevir,"['[H]', '[C@]12', 'CN(', '[C@H](', 'C(=O)NC(', 'CC3', 'CCC3)', 'C(=O)', 'C(N)=O)', '[C@@]1(', '[H]', ')', 'C2(C)C)', 'C(=O)', '[C@@H](', 'NC(=O)N', 'C(C)(C)C)', 'C(C)(C)C']","[917, 888, 520, 839, 167, 382, 413, 146, 226, 818, 917, 59, 283, 146, 781, 651, 199, 198]"
levacetylmethadol,"['CC[C@H](', 'OC(C)=O)', 'C(', 'C[C@H](C)', 'N(C)C)', '(', 'C1=', 'CC=', 'CC=', 'C1)', 'C1=', 'CC=', 'CC', '=C1']","[510, 690, 139, 572, 599, 31, 258, 388, 388, 253, 258, 388, 324, 106]"
imipramine,"['CN(C)', 'CCCN1', 'C2=', 'CC=', 'CC', '=C2', 'CCC2', '=', 'CC=', 'CC', '=C1', '2']","[523, 449, 286, 388, 324, 108, 410, 92, 388, 324, 106, 73]"
vemurafenib,"['CCC', 'S(=O)(=O)N', 'C1=C(', 'F)', 'C(C(=O)', 'C2=', 'CN', 'C3=N', 'C=C(', 'C=C2', '3)', 'C2=', 'CC', '=C(', 'Cl)', 'C=C', '2)', '=C(', 'F)', 'C=C1']","[391, 746, 260, 586, 192, 286, 519, 301, 313, 317, 78, 286, 324, 94, 584, 312, 74, 94, 586, 316]"
obeticholic acid,"['[H]', '[C@@]1', '(CC', '[C@@]2(', '[H]', ')', '[C@]3(', '[H]', ')', '[C@H](O)', '[C@H](CC)', '[C@]4', '(', '[H]', ')', 'C[C@H](O)', 'CC[C@]4(C)', '[C@@]3(', '[H]', ')', 'CC', '[C@]12', 'C)', '[C@H](C)', 'CCC(O)', '=O']","[917, 817, 43, 824, 917, 59, 894, 917, 59, 854, 847, 898, 31, 917, 59, 576, 518, 830, 917, 59, 324, 888, 241, 842, 402, 120]"
sarecycline,"['[H]', '[C@@]12', 'CC3', '=C(', 'CN(C)', 'OC)', 'C=', 'CC(O)', '=C3', 'C(=O)', 'C1=C(O)', '[C@]1(O)', 'C(=O)C(', 'C(N)=O)', '=C(O)', '[C@@H](', 'N(C)C)', '[C@]1(', '[H]', ')', 'C2']","[917, 822, 382, 94, 523, 692, 311, 360, 109, 146, 263, 887, 148, 226, 100, 781, 599, 885, 917, 59, 281]"
tranexamic acid,"['N', 'C[C@H]1', 'CC[C@@H](', 'CC1)', 'C(O)=O']","[590, 577, 504, 369, 234]"
fluorouracil,"['F', 'C1=', 'CNC(=O)N', 'C1=O']","[585, 258, 544, 266]"
