drug_name,smiles,tokens
icatibant,[H][C@]12C[C@]([H])(N(C(=O)[C@@]3([H])CC4=C(CN3C(=O)[C@H](CO)NC(=O)[C@H](CC3=CC=CS3)NC(=O)CNC(=O)[C@]3([H])C[C@@H](O)CN3C(=O)[C@@H]3CCCN3C(=O)[C@H](CCCNC(N)=N)NC(=O)[C@H](N)CCCNC(N)=N)C=CC=C4)[C@@]1([H])CCCC2)C(=O)N[C@@H](CCCNC(N)=N)C(O)=O,"['[H]', '[C@]12C', '[C@](', '[H]', ')', '(', 'N(C(=O)', '[C@@]3(', '[H]', ')', 'CC4', '=C(', 'CN3', 'C(=O)', '[C@H](CO)', 'NC(=O)[C@H](', 'CC3', '=', 'CC', '=C', 'S', '3)', 'NC(=O)', 'CNC(=O)', '[C@]3(', '[H]', ')', 'C[C@@H](O)', 'CN3', 'C(=O)', '[C@@H]3', 'CCCN3', 'C(=O)[C@H](', 'CCCN', 'C(N)=N)', 'NC(=O)[C@H](', 'N)', 'CCCN', 'C(N)=N)', 'C=', 'CC', '=C', '4)', '[C@@]1(', '[H]', ')', 'CCCC2)', 'C(=O)N[C@@H](', 'CCCN', 'C(N)=N)', 'C(O)=O']"
loratadine,CCOC(=O)N1CCC(CC1)=C1C2=C(CCC3=C1N=CC=C3)C=C(Cl)C=C2,"['CCO', 'C(=O)N1CCC(', 'CC1)', '=C1', 'C2=C(', 'CCC3', '=C1', 'N=', 'CC', '=C', '3)', 'C=C(', 'Cl)', 'C=C2']"
boceprevir,[H][C@]12CN([C@H](C(=O)NC(CC3CCC3)C(=O)C(N)=O)[C@@]1([H])C2(C)C)C(=O)[C@@H](NC(=O)NC(C)(C)C)C(C)(C)C,"['[H]', '[C@]12', 'CN(', '[C@H](', 'C(=O)NC(', 'CC3', 'CCC3)', 'C(=O)', 'C(N)=O)', '[C@@]1(', '[H]', ')', 'C2(C)C)', 'C(=O)', '[C@@H](', 'NC(=O)N', 'C(C)(C)C)', 'C(C)(C)C']"
levacetylmethadol,CC[C@H](OC(C)=O)C(C[C@H](C)N(C)C)(C1=CC=CC=C1)C1=CC=CC=C1,"['CC[C@H](', 'OC(C)=O)', 'C(', 'C[C@H](C)', 'N(C)C)', '(', 'C1=', 'CC=', 'CC=', 'C1)', 'C1=', 'CC=', 'CC', '=C1']"
imipramine,CN(C)CCCN1C2=CC=CC=C2CCC2=CC=CC=C12,"['CN(C)', 'CCCN1', 'C2=', 'CC=', 'CC', '=C2', 'CCC2', '=', 'CC=', 'CC', '=C1', '2']"
vemurafenib,CCCS(=O)(=O)NC1=C(F)C(C(=O)C2=CNC3=NC=C(C=C23)C2=CC=C(Cl)C=C2)=C(F)C=C1,"['CCC', 'S(=O)(=O)N', 'C1=C(', 'F)', 'C(C(=O)', 'C2=', 'CN', 'C3=N', 'C=C(', 'C=C2', '3)', 'C2=', 'CC', '=C(', 'Cl)', 'C=C', '2)', '=C(', 'F)', 'C=C1']"
obeticholic acid,[H][C@@]1(CC[C@@]2([H])[C@]3([H])[C@H](O)[C@H](CC)[C@]4([H])C[C@H](O)CC[C@]4(C)[C@@]3([H])CC[C@]12C)[C@H](C)CCC(O)=O,"['[H]', '[C@@]1', '(CC', '[C@@]2(', '[H]', ')', '[C@]3(', '[H]', ')', '[C@H](O)', '[C@H](CC)', '[C@]4', '(', '[H]', ')', 'C[C@H](O)', 'CC[C@]4(C)', '[C@@]3(', '[H]', ')', 'CC', '[C@]12', 'C)', '[C@H](C)', 'CCC(O)', '=O']"
sarecycline,[H][C@@]12CC3=C(CN(C)OC)C=CC(O)=C3C(=O)C1=C(O)[C@]1(O)C(=O)C(C(N)=O)=C(O)[C@@H](N(C)C)[C@]1([H])C2,"['[H]', '[C@@]12', 'CC3', '=C(', 'CN(C)', 'OC)', 'C=', 'CC(O)', '=C3', 'C(=O)', 'C1=C(O)', '[C@]1(O)', 'C(=O)C(', 'C(N)=O)', '=C(O)', '[C@@H](', 'N(C)C)', '[C@]1(', '[H]', ')', 'C2']"
tranexamic acid,NC[C@H]1CC[C@@H](CC1)C(O)=O,"['N', 'C[C@H]1', 'CC[C@@H](', 'CC1)', 'C(O)=O']"
fluorouracil,FC1=CNC(=O)NC1=O,"['F', 'C1=', 'CNC(=O)N', 'C1=O']"
