index,purchase_index,fixed_mortgage_30,adjustable_mortgage,fixed_mortgage_15,all_items,all_items_no_fe,shelter,nominal_gdp,personal_income,population
2005-03-31,431.78,5.928,5.295999999999999,5.464,112.6,110.2,118.3,4229482.166666665,3446791.4666666673,
2005-05-31,474.98,5.72,5.1275,5.279999999999999,113.3,110.3,118.2,4264085.522222222,3485025.555555555,
2005-06-30,484.6,5.582,5.064,5.168,113.2,110.2,118.5,4281387.199999999,3504142.6,
2005-07-31,497.8,5.695,5.2175,5.2775,113.7,110.2,119.0,4305684.388888888,3522849.4777777772,
2005-09-30,490.56,5.774,5.3100000000000005,5.358,115.6,110.7,118.5,4354278.766666667,3560263.233333334,
2005-10-31,493.24,6.065,5.5675,5.625,115.7,111.1,119.1,4374424.499999999,3580711.1444444447,
2005-11-30,469.18,6.33,5.795,5.8625,114.9,111.1,119.1,4394570.233333333,3601159.0555555555,
2005-12-31,476.37,6.272,5.784000000000001,5.816,114.4,111.0,119.3,4414715.966666667,3621606.9666666663,
2006-02-28,450.17,6.2525,5.9175,5.859999999999999,115.4,111.8,120.6,4475372.166666667,3690112.144444444,
2006-03-31,403.97,6.324,5.982,5.968,116.0,112.4,121.4,4505700.2666666685,3724364.733333334,
2006-05-31,411.95,6.5975,6.2175,6.205,117.5,112.7,122.0,4539937.888888889,3758385.9333333336,
2006-06-30,407.06,6.6819999999999995,6.279999999999999,6.306,117.7,112.9,122.6,4557056.7,3775396.533333333,
2006-07-31,407.01,6.7625,6.3575,6.390000000000001,118.1,113.0,123.3,4569971.188888889,3786227.4000000004,
2006-09-30,384.1,6.4025,6.08,6.077500000000001,117.8,113.6,123.4,4595800.166666667,3807889.133333333,
2006-10-31,396.8,6.3575,6.0875,6.05,117.1,113.8,123.8,4614533.077777779,3824550.122222222,
2006-11-30,383.38,6.24,6.022,5.956,116.9,113.6,123.9,4633265.988888889,3841211.111111111,
2006-12-31,409.91,6.135,5.945,5.88,117.0,113.4,124.1,4651998.9,3857872.1,
2007-02-28,427.4,6.285,6.0,6.02,117.877,114.276,125.474,4690740.499999997,3911933.5,
2007-03-31,397.12,6.156000000000001,5.904,5.884,118.913,114.623,125.928,4710111.300000001,3938964.1999999997,
2007-05-31,413.4,6.2620000000000005,5.978,5.968,120.292,114.776,126.309,4751490.877777778,3975590.066666667,
2007-06-30,433.68,6.657500000000001,6.305,6.34,120.439,114.785,126.867,4772180.666666666,3993903.0,
2007-07-31,444.89,6.695,6.3225,6.359999999999999,120.377,114.887,127.367,4790135.2,4002767.4555555554,
2007-09-30,440.14,6.3825,6.2125,6.0475,120.638,115.467,127.375,4826044.2666666685,4020496.3666666667,
2007-10-31,432.55,6.375,6.0925,6.04,120.885,115.813,127.662,4842678.266666668,4035479.5222222223,
2007-11-30,418.63,6.208,5.914,5.85,121.481,115.802,127.644,4859312.266666665,4050462.677777778,
2007-12-31,429.38,6.095,5.86,5.7525,121.295,115.627,127.742,4875946.266666668,4065445.8333333335,
2008-02-29,417.07,5.9175,5.3,5.4399999999999995,122.25,116.426,128.86,4873778.377777778,4096339.5222222223,
2008-03-31,372.35,5.97,5.5375,5.42,123.323,116.92,129.506,4872694.4333333345,4111786.3666666667,
2008-05-31,367.17,6.036,5.640000000000001,5.6,125.171,117.093,129.597,4907732.966666665,4185666.1,
2008-06-30,356.78,6.32,5.7725,5.91,126.307,117.242,130.107,4925252.233333333,4222605.966666667,
2008-07-31,353.75,6.425999999999999,5.926,5.9719999999999995,126.918,117.532,130.61,4928694.377777777,4204546.2,
2008-09-30,323.13,6.0375,5.8825,5.64,126.551,118.063,130.458,4935578.666666668,4168426.6666666665,
2008-10-31,346.52,6.2,6.0920000000000005,5.892,125.5,118.204,130.596,4902974.322222223,4156188.333333333,
2008-11-30,292.5,6.0875,5.9750000000000005,5.79,123.044,117.986,130.479,4870369.977777774,4143949.9999999995,
2008-12-31,288.9,5.286,5.65,5.038,121.557,117.623,130.352,4837765.633333334,4131711.6666666674,
2009-02-28,293.7,5.13,5.1475,4.7725,122.598,118.348,131.218,4798351.566666665,4055612.6888888883,
2009-03-31,245.03,5.0025,5.0025,4.6375,122.803,118.807,131.571,4778644.533333333,4017563.2,
2009-05-31,263.35,4.8575,4.8325000000000005,4.515,123.427,119.023,131.725,4767189.933333333,4023422.644444444,
