index,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Puerto Rico,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virgin Islands,Virginia,Washington,West Virginia,Wisconsin,Wyoming
1986-12-27,58766.0,16582.0,25733.0,38253.0,377230.0,31617.0,29672.0,4345.0,9159.0,65298.0,53692.0,7956.0,16615.0,143290.0,47604.0,34686.0,27643.0,34968.0,82358.0,11934.0,35192.0,72204.0,126837.0,56424.0,37306.0,54945.0,11164.0,16859.0,12774.0,3595.0,75611.0,15774.0,196953.0,57025.0,8307.0,124000.0,30078.0,48460.0,162199.0,26281.0,14753.0,36999.0,3852.0,57271.0,186591.0,14986.0,6496.0,502.0,23169.0,75907.0,25817.0,78446.0,8174.0
1987-01-03,69428.0,17775.0,28138.0,47562.0,437386.0,46493.0,45376.0,5838.0,8936.0,57499.0,66958.0,8381.0,22821.0,148139.0,63290.0,41674.0,29862.0,50409.0,92895.0,15098.0,41262.0,100379.0,137247.0,65368.0,43273.0,71325.0,12850.0,18320.0,13600.0,6500.0,97861.0,16855.0,236959.0,90074.0,10240.0,160500.0,34050.0,62446.0,211402.0,41203.0,19177.0,41977.0,4760.0,82475.0,226361.0,19775.0,7489.0,461.0,46783.0,85210.0,29302.0,92538.0,10292.0
1987-01-10,65076.0,18795.0,25686.0,39463.0,432612.0,43977.0,31977.0,4800.0,9438.0,55478.0,58456.0,8070.0,18568.0,159086.0,57525.0,38956.0,31921.0,44392.0,84142.0,16270.0,35859.0,77675.0,151825.0,61041.0,40774.0,,11723.0,18120.0,14584.0,4848.0,94349.0,17982.0,236367.0,74302.0,8420.0,152000.0,31693.0,49893.0,202338.0,41064.0,19706.0,36173.0,4146.0,62726.0,188571.0,17402.0,6651.0,525.0,36297.0,78395.0,30659.0,83311.0,9400.0
1987-01-17,48737.0,17751.0,31728.0,37393.0,395795.0,38568.0,26538.0,5029.0,8954.0,49205.0,47678.0,7495.0,22401.0,153180.0,60967.0,36803.0,31723.0,40287.0,85315.0,15246.0,35372.0,67316.0,153868.0,61353.0,35574.0,63079.0,14334.0,17816.0,13612.0,4083.0,83855.0,18212.0,211914.0,72885.0,11912.0,144500.0,30176.0,52326.0,186600.0,40358.0,17607.0,32925.0,4436.0,50425.0,195585.0,19961.0,6598.0,525.0,26293.0,82295.0,30144.0,78600.0,10435.0
1987-01-24,47427.0,19410.0,29855.0,37270.0,425489.0,47132.0,29462.0,5504.0,9156.0,57576.0,58273.0,7120.0,17771.0,166109.0,61282.0,42388.0,31603.0,38804.0,86596.0,15007.0,38715.0,63448.0,161442.0,61672.0,37025.0,75629.0,12147.0,18071.0,15359.0,4123.0,101303.0,18524.0,225691.0,61155.0,9067.0,149500.0,33877.0,48551.0,191037.0,46124.0,18864.0,31426.0,4802.0,55280.0,189337.0,19560.0,6450.0,513.0,25222.0,76871.0,29491.0,81361.0,10138.0
1987-01-31,47427.0,18466.0,28835.0,35337.0,412947.0,44471.0,30779.0,6266.0,9408.0,53839.0,51075.0,7725.0,21854.0,163995.0,59816.0,41352.0,31382.0,43538.0,83971.0,14408.0,43270.0,79713.0,155471.0,62268.0,36974.0,68746.0,14875.0,17775.0,14442.0,3677.0,97935.0,18188.0,223524.0,64744.0,12034.0,151500.0,33549.0,51112.0,200410.0,43685.0,18864.0,31289.0,4618.0,55280.0,191438.0,21886.0,6519.0,503.0,32963.0,83787.0,31830.0,82239.0,10801.0
1987-02-07,48711.0,19514.0,26469.0,35668.0,374532.0,44960.0,29102.0,6570.0,9553.0,54638.0,56114.0,7037.0,18181.0,161133.0,57968.0,35329.0,29195.0,41178.0,86672.0,14926.0,40551.0,71131.0,151320.0,60884.0,36102.0,62288.0,12579.0,17575.0,14350.0,3540.0,98864.0,18287.0,226419.0,69723.0,9037.0,149000.0,32867.0,48515.0,187013.0,40377.0,18228.0,30313.0,4474.0,53687.0,181189.0,18556.0,6430.0,489.0,31766.0,78256.0,29089.0,82351.0,10214.0
1987-02-14,45558.0,18281.0,25785.0,33660.0,398093.0,42582.0,29549.0,5919.0,9024.0,53512.0,49852.0,6533.0,20547.0,163463.0,56491.0,35620.0,28161.0,43244.0,82859.0,14673.0,41241.0,70336.0,151588.0,62160.0,34330.0,66993.0,14646.0,16702.0,13454.0,3731.0,97590.0,18160.0,209475.0,49651.0,11868.0,145000.0,31496.0,47713.0,187592.0,35843.0,17204.0,28156.0,4420.0,49246.0,182340.0,20738.0,6606.0,512.0,27699.0,82249.0,30308.0,80959.0,10836.0
1987-02-21,45995.0,19490.0,28283.0,35684.0,433242.0,43692.0,30972.0,5842.0,9601.0,54218.0,51665.0,6871.0,18994.0,161933.0,54752.0,35626.0,29037.0,40772.0,82168.0,15155.0,46174.0,76193.0,154916.0,60053.0,34736.0,73139.0,12603.0,17236.0,13814.0,3936.0,103659.0,17411.0,226166.0,68343.0,8870.0,145500.0,33226.0,48885.0,182412.0,40451.0,17196.0,29660.0,4434.0,52684.0,186456.0,19294.0,6969.0,519.0,33032.0,75105.0,29589.0,80259.0,10226.0
1987-02-28,43930.0,18657.0,28702.0,34508.0,436707.0,45090.0,28676.0,6409.0,9076.0,57335.0,49099.0,6671.0,22629.0,160138.0,52665.0,35626.0,28435.0,43471.0,80230.0,15254.0,45462.0,69597.0,152718.0,61036.0,33676.0,64140.0,14391.0,16850.0,13974.0,3671.0,98491.0,16484.0,218090.0,64561.0,11596.0,145000.0,32937.0,47849.0,186023.0,39849.0,17209.0,27968.0,4439.0,49880.0,182080.0,20786.0,6667.0,499.0,29554.0,81915.0,30207.0,79237.0,10567.0
