"SQGDP1 Gross Domestic Product (GDP) summary, quarterly by state"
"Current-dollar Gross Domestic Product (GDP) (Millions of current dollars)" 
"Bureau of Economic Analysis" 
"State or DC"
"GeoFips","GeoName","2005:Q1","2005:Q2","2005:Q3","2005:Q4","2006:Q1","2006:Q2","2006:Q3","2006:Q4","2007:Q1","2007:Q2","2007:Q3","2007:Q4","2008:Q1","2008:Q2","2008:Q3","2008:Q4","2009:Q1","2009:Q2","2009:Q3","2009:Q4","2010:Q1","2010:Q2","2010:Q3","2010:Q4","2011:Q1","2011:Q2","2011:Q3","2011:Q4","2012:Q1","2012:Q2","2012:Q3","2012:Q4","2013:Q1","2013:Q2","2013:Q3","2013:Q4","2014:Q1","2014:Q2","2014:Q3","2014:Q4","2015:Q1","2015:Q2","2015:Q3","2015:Q4","2016:Q1","2016:Q2","2016:Q3","2016:Q4","2017:Q1","2017:Q2","2017:Q3","2017:Q4","2018:Q1","2018:Q2","2018:Q3","2018:Q4","2019:Q1","2019:Q2","2019:Q3","2019:Q4","2020:Q1","2020:Q2","2020:Q3","2020:Q4","2021:Q1","2021:Q2","2021:Q3","2021:Q4","2022:Q1"
"01000","Alabama",155702.7,158097.7,159237.5,162349.4,163922.4,166060.1,167426.9,168466.7,169991.5,172482.7,174468.8,174957.8,174508.1,175783.0,175791.0,172023.1,170326.7,170239.2,170973.3,172184.3,172778.3,175855.6,179801.4,180561.3,180499.3,182689.4,185011.7,187466.1,188424.6,190053.1,189027.2,189477.2,194124.9,193786.5,195890.8,195345.5,193282.5,196937.5,199296.5,200110.9,199782.1,202344.6,203858.1,203504.8,204691.9,207129.8,207694.5,209957.3,212628.6,213663.7,215318.5,218733.0,221282.9,223926.4,224161.8,226816.6,228446.2,230428.6,232224.7,233587.9,231792.8,210576.3,231581.2,233635.5,238126.4,243786.8,248991.2,257465.4,261612.0
"02000","Alaska",37792.5,39198.7,40905.2,43529.9,43276.9,45016.6,45700.4,46382.5,47104.0,49415.8,50222.5,51592.7,52863.3,56284.1,57741.4,53601.1,50804.3,49588.2,48973.7,50464.9,51903.8,52922.5,53903.5,54596.6,54492.2,57059.1,57102.2,58932.0,58499.4,58652.9,58301.9,57680.4,57879.2,56608.4,57823.3,56679.9,56871.6,57354.7,56748.9,54964.6,52146.2,52193.5,51181.2,50442.7,49864.8,50542.3,50843.4,51660.1,52486.6,52606.1,53319.3,53945.4,54138.1,54517.7,55003.4,55187.7,54068.9,54236.4,54802.8,55080.3,53103.2,45944.5,48876.9,51355.3,52163.8,54055.9,55677.2,57983.5,58875.3
"04000","Arizona",220647.6,225552.6,231487.1,233976.4,240385.0,242839.9,247795.9,252806.9,256004.6,259985.9,264576.2,265001.2,264549.9,265361.0,264331.3,257462.0,249753.9,245160.8,243381.8,247400.8,245589.8,249783.0,252857.5,256381.9,256374.6,258934.3,261472.5,266881.5,269074.1,271604.9,271633.6,273447.5,275876.3,276875.9,279361.5,282252.8,283488.1,286289.0,289914.0,290975.5,295882.1,298929.9,299379.0,303382.0,305839.1,311399.3,316315.1,318772.0,323955.8,326862.5,333473.9,337372.4,343826.6,348129.0,351968.9,355705.3,361237.3,366861.1,373610.5,378243.9,375700.3,351317.9,378850.2,389007.5,393599.0,405788.7,415560.6,429818.7,435310.3
"05000","Arkansas",89068.5,89829.1,91062.3,93591.1,94375.6,96268.5,96468.3,96388.1,95510.7,97088.5,98009.8,102917.6,98495.2,100579.9,100787.6,98964.4,99555.2,95965.2,96634.7,97877.5,98284.6,101131.8,102983.7,103546.0,104016.7,105355.4,106202.4,107497.9,108006.5,108549.9,108667.9,108744.1,112468.8,112520.9,113828.9,114090.7,114519.0,115882.2,116756.3,117400.3,116367.9,117583.7,118665.1,118530.4,118021.8,118902.6,118938.7,120746.5,120987.6,121541.5,122423.9,124447.7,125625.0,126853.6,127681.7,129065.6,129040.8,129954.3,131427.8,132936.6,132472.4,122958.7,133036.8,134534.9,138770.9,143004.5,145923.6,150482.7,153714.9
"06000","California",1657292.4,1680340.0,1715935.1,1740674.1,1789641.0,1797006.6,1820211.6,1841980.7,1855811.4,1883992.9,1910858.6,1944945.1,1920582.3,1964303.1,1976074.2,1917821.8,1910813.6,1881658.2,1876005.3,1892186.4,1919069.0,1937908.1,1953261.5,2006132.2,2007608.8,2022198.7,2027032.7,2037160.0,2079759.5,2094742.1,2118154.5,2159729.7,2167627.5,2191853.4,2228668.7,2293409.9,2277808.7,2315807.3,2367246.4,2380283.6,2434212.2,2476522.9,2489391.9,2494096.5,2533323.0,2546150.8,2586282.9,2612779.4,2654787.0,2703279.0,2755120.9,2810708.8,2825572.2,2887291.4,2920467.6,2947072.8,2981815.4,3045351.6,3072533.7,3110880.2,3083611.2,2801946.6,3042208.0,3100984.9,3207138.8,3321704.1,3384335.2,3513347.5,3568888.3
"08000","Colorado",216841.7,219446.3,223217.9,223629.0,229764.1,230356.4,235147.8,235318.6,240522.7,246128.3,250109.4,257025.7,255957.0,261629.0,262416.1,255484.8,252786.2,248374.2,250606.2,253144.1,253940.1,255373.3,258953.3,264934.3,264147.5,266862.8,268330.6,270723.3,273614.1,276036.5,276873.8,280768.1,287255.3,289101.3,294140.3,298065.0,301806.8,307147.1,312328.2,316888.2,316793.3,320320.4,322179.3,323591.2,321951.2,326571.2,332515.8,338608.8,341554.9,344737.6,350959.8,358340.0,363869.5,369950.4,373225.5,378653.0,382449.7,390227.5,397140.6,399054.1,395421.1,358716.2,385075.1,391126.2,402761.3,417623.6,426477.5,440903.4,447519.9
"09000","Connecticut",201987.1,204097.8,205354.2,209419.5,217896.9,218199.4,219559.4,223418.0,232781.0,234378.3,236030.4,234973.0,247467.5,243562.6,237223.9,227493.3,234566.4,232238.0,232254.7,234103.7,232715.4,235591.2,236049.7,234443.7,229837.2,233670.8,233821.3,235305.7,238772.4,240728.1,241411.7,242735.6,240516.6,239938.9,242299.8,243314.6,240087.1,244480.8,248804.4,253015.6,257473.1,260034.0,259889.4,260554.6,262267.0,263122.1,263493.1,265799.0,266213.8,271539.9,273515.9,275061.1,277508.2,278773.9,283567.3,282918.8,285144.6,287949.6,289234.2,290108.0,286287.4,257812.1,278870.0,282722.1,285112.4,293594.7,298612.2,308670.9,312212.0
"10000","Delaware",51134.7,50162.3,50425.6,56891.4,54409.2,55739.2,55526.0,55023.1,56034.8,57700.2,56609.6,56106.7,55475.9,55732.2,55809.7,54821.4,57564.0,58199.2,58359.1,57276.4,58298.1,57410.5,58009.6,58935.9,60135.2,61038.5,62238.0,62077.2,63329.8,62626.2,62261.2,61201.3,60525.2,60609.2,61348.8,64381.5,65239.4,67846.9,69743.9,70588.6,71813.8,73499.3,71454.0,70888.6,69118.4,69628.6,69281.8,69391.1,69230.2,67758.7,68821.6,69244.6,70437.8,71757.9,73528.1,74228.2,75399.3,76794.5,77620.6,78354.3,77074.2,71818.2,76815.0,77438.6,77392.3,79728.2,81546.4,84206.0,85220.0
"11000","District of Columbia",83598.2,84739.8,85242.5,85890.0,86978.5,87517.6,89250.7,88753.3,91069.1,92166.8,95765.8,96140.0,98504.6,98937.7,99976.0,100567.7,99442.6,100466.9,100403.6,101471.0,103486.4,106022.3,106793.5,108285.3,108570.7,109659.5,110451.7,110239.6,110966.4,112347.9,112685.0,112628.6,113760.6,113703.8,114435.4,116260.7,117754.7,118418.7,120013.1,121472.0,123047.9,124697.2,124963.5,125710.1,128559.6,129515.1,129557.5,130962.1,131019.0,132200.3,134957.4,135388.0,136956.5,139075.7,141284.5,141822.6,141915.2,143276.4,145209.4,147221.7,147340.0,139170.6,144287.2,147421.3,147829.8,150576.5,153168.3,156456.9,157671.2
"12000","Florida",690088.7,698709.0,715915.7,718694.0,736349.4,744377.3,752793.0,768575.7,772022.7,780225.8,790730.1,787871.5,774200.0,769610.2,762423.3,747132.6,740051.6,732371.9,730097.1,739163.3,735061.2,744674.5,751792.2,756187.7,746767.0,756616.3,755561.6,762015.1,770236.6,773982.0,783994.5,785967.1,800612.5,804243.0,815404.2,826747.0,829141.8,844744.3,859527.2,873356.2,887079.8,903590.7,915913.2,927495.9,931019.6,947174.2,962848.4,972368.0,985732.9,994719.8,1006192.9,1023626.7,1039676.9,1051667.0,1065546.8,1074558.7,1096605.1,1110451.4,1123989.9,1134695.4,1127294.8,1034693.9,1126331.5,1135821.9,1163342.0,1213461.0,1242300.4,1286086.4,1303944.6
