State Weekly Claims for Unemplyment Insurance Data Not Seasonally Adjusted,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
State,Filed week ended,Initial Claims,Reflecting Week Ended,Continued Claims,Covered Employment,Insured Unemployment Rate,,,
Alabama,1/3/1987,"16,309",12/27/1986,"58,766","1,342,115",4.38,,,
Alabama,1/10/1987,"21,203",1/3/1987,"69,428","1,351,706",5.14,,,
Alabama,1/17/1987,"17,409",1/10/1987,"65,076","1,351,706",4.81,,,
Alabama,1/24/1987,"8,839",1/17/1987,"48,737","1,351,706",3.61,,,
Alabama,1/31/1987,"7,272",1/24/1987,"47,427","1,351,706",3.51,,,
Alabama,2/7/1987,"7,272",1/31/1987,"47,427","1,351,706",3.51,,,
Alabama,2/14/1987,"8,633",2/7/1987,"48,711","1,351,706",3.6,,,
Alabama,2/21/1987,"6,499",2/14/1987,"45,558","1,351,706",3.37,,,
Alabama,2/28/1987,"6,354",2/21/1987,"45,995","1,351,706",3.4,,,
Alabama,3/7/1987,"5,563",2/28/1987,"43,930","1,351,706",3.25,,,
Alabama,3/14/1987,"6,207",3/7/1987,"42,686","1,351,706",3.16,,,
Alabama,3/21/1987,"10,978",3/14/1987,"47,323","1,351,706",3.5,,,
Alabama,3/28/1987,"6,305",3/21/1987,"39,823","1,351,706",2.95,,,
Alabama,4/4/1987,"5,315",3/28/1987,"39,601","1,351,706",2.93,,,
Alabama,4/11/1987,"7,472",4/4/1987,"38,924","1,359,587",2.86,,,
Alabama,4/18/1987,"5,597",4/11/1987,"37,477","1,359,587",2.76,,,
Alabama,4/25/1987,"6,215",4/18/1987,"38,201","1,359,587",2.81,,,
Alabama,5/2/1987,"5,186",4/25/1987,"35,882","1,359,587",2.64,,,
Alabama,5/9/1987,"5,749",5/2/1987,"35,737","1,359,587",2.63,,,
Alabama,5/16/1987,"6,056",5/9/1987,"35,777","1,359,587",2.63,,,
