index,total_debt,mortgage_debt,consumer_debt
1980-01-01,10.61574,4.375714,6.240027
1980-04-01,10.6369,4.484928,6.151972
1980-07-01,10.406386,4.493386,5.913
1980-10-01,10.252837,4.512131,5.740706
1981-01-01,10.287516,4.596082,5.691433
1981-04-01,10.416878,4.723624,5.693254
1981-07-01,10.306743,4.720102,5.586641
1981-10-01,10.379325,4.802776,5.57655
1982-01-01,10.447258,4.884527,5.562731
1982-04-01,10.504029,4.930689,5.57334
1982-07-01,10.409941,4.890362,5.519579
1982-10-01,10.38041,4.876376,5.504033
1983-01-01,10.348922,4.850575,5.498346
1983-04-01,10.376333,4.850596,5.525737
1983-07-01,10.381299,4.854205,5.527094
1983-10-01,10.425534,4.870328,5.555206
1984-01-01,10.478991,4.895675,5.583316
1984-04-01,10.607963,4.934267,5.673696
1984-07-01,10.719033,4.972294,5.746739
1984-10-01,10.878463,5.042887,5.835576
1985-01-01,11.220536,5.22003,6.000506
1985-04-01,11.310744,5.281076,6.029668
1985-07-01,11.595799,5.408039,6.18776
1985-10-01,11.72557,5.482499,6.243071
1986-01-01,11.739687,5.504987,6.2347
1986-04-01,11.812105,5.542903,6.269203
1986-07-01,11.91714,5.598595,6.318545
1986-10-01,12.062025,5.698757,6.363267
1987-01-01,11.931285,5.705198,6.226087
1987-04-01,12.067256,5.823345,6.243911
1987-07-01,11.939659,5.789598,6.150061
1987-10-01,11.806446,5.733047,6.073399
1988-01-01,11.752855,5.734042,6.018813
1988-04-01,11.736396,5.767063,5.969333
1988-07-01,11.69119,5.791636,5.899554
1988-10-01,11.569183,5.726589,5.842594
1989-01-01,11.565868,5.75387,5.811998
1989-04-01,11.731492,5.859422,5.872069
1989-07-01,11.793877,5.948757,5.84512
1989-10-01,11.745679,5.981797,5.763882
1990-01-01,11.64915,6.013543,5.635607
1990-04-01,11.60066,6.06,5.54066
1990-07-01,11.583131,6.101873,5.481259
1990-10-01,11.604449,6.184847,5.419602
1991-01-01,11.578032,6.222793,5.355239
1991-04-01,11.434237,6.195692,5.238545
1991-07-01,11.318681,6.181328,5.137354
1991-10-01,11.117333,6.100082,5.017251
1992-01-01,10.855581,5.988402,4.867179
1992-04-01,10.680886,5.906447,4.774439
1992-07-01,10.54005,5.837651,4.702399
1992-10-01,10.455215,5.795003,4.660212
1993-01-01,10.419139,5.766582,4.652557
1993-04-01,10.35443,5.705527,4.648903
