index,all,all_real_estate,residential_mtg,commercial_mtg,agricultural_mtg,all_con_ln_dq,con_credit_card,other_con_ln,lease,commercial_ln,agricultural_ln
1985-01-01,4.8,,,,,,,,,,
1985-04-01,4.81,,,,,,,,,,
1985-07-01,4.86,,,,,,,,,,
1985-10-01,4.73,,,,,,,,,,
1986-01-01,5.06,,,,,,,,,,
1986-04-01,4.63,,,,,,,,,,
1986-07-01,4.71,,,,,,,,,,
1986-10-01,4.62,,,,,,,,,,
1987-01-01,5.88,4.97,,,,3.39,,,2.49,6.75,10.76
1987-04-01,5.33,4.78,,,,3.14,,,2.25,6.75,8.15
1987-07-01,5.27,4.67,,,,3.28,,,2.13,6.4,6.96
1987-10-01,5.28,4.81,,,,3.43,,,1.88,6.23,6.87
1988-01-01,5.36,4.78,,,,3.31,,,1.79,5.85,7.51
1988-04-01,4.9,4.83,,,,3.12,,,1.73,5.46,5.67
1988-07-01,5.01,4.79,,,,3.24,,,1.62,5.4,5.14
1988-10-01,4.65,4.45,,,,3.42,,,1.5,5.0,4.82
1989-01-01,5.15,4.7,,,,3.46,,,1.66,5.25,5.73
1989-04-01,4.85,4.76,,,,3.37,,,1.8,5.18,4.59
1989-07-01,4.99,5.0,,,,3.57,,,1.84,5.2,3.95
1989-10-01,4.93,5.08,,,,3.71,,,1.95,5.15,3.87
1990-01-01,5.24,5.37,,,,3.61,,,1.88,5.17,5.09
1990-04-01,4.95,5.66,,,,3.46,,,1.85,5.35,3.69
1990-07-01,5.31,6.05,,,,3.81,,,2.12,5.46,3.29
1990-10-01,5.98,7.06,,,,4.16,,,2.39,6.27,3.3
1991-01-01,6.38,7.34,3.18,12.49,4.86,4.12,5.31,3.59,2.75,6.29,4.41
1991-04-01,6.04,7.37,3.07,11.6,4.18,4.05,5.35,3.52,2.64,6.41,3.49
1991-07-01,5.93,7.18,3.17,11.39,4.05,4.18,5.43,3.49,2.49,6.22,3.07
1991-10-01,5.82,7.09,3.3,11.26,4.16,4.25,5.32,3.53,2.29,6.03,3.35
1992-01-01,5.77,6.61,3.23,11.41,4.88,3.95,5.32,3.31,2.18,5.76,4.58
1992-04-01,5.3,6.54,2.96,10.28,4.03,3.71,4.97,3.17,2.2,5.49,3.47
