time,united_states,alabama,alaska,arizona,arkansas,california,colorado,connecticut,delaware,district_of_columbia,florida,georgia,hawaii,idaho,illinois,indiana,iowa,kansas,kentucky,louisiana,maine,maryland,massachusetts,michigan,minnesota,mississippi,missouri,montana,nebraska,nevada,new_hampshire,new_jersey,new_mexico,new_york,north_carolina,north_dakota,ohio,oklahoma,oregon,pennsylvania,rhode_island,south_carolina,south_dakota,tennessee,texas,utah,vermont,virginia,washington,west_virginia,wisconsin,wyoming
2010-01-01,91.332,101.43,89.961,84.858,95.728,78.345,80.626,105.04,103.837,75.459,86.038,96.671,83.916,93.596,100.557,94.313,92.005,94.424,95.062,92.517,98.614,98.706,91.633,86.899,92.846,98.52,97.469,90.329,88.701,80.32,97.066,101.87,104.12,97.136,98.638,73.061,97.351,91.795,87.215,97.871,100.967,98.142,87.739,92.851,82.999,87.836,98.93,96.438,90.661,95.1,99.374,91.333
2010-03-01,90.506,99.937,90.753,81.897,96.025,78.116,79.687,103.88,102.746,75.779,83.65,94.602,83.311,92.057,99.381,94.414,92.318,94.222,94.659,92.044,97.386,97.483,91.374,85.519,92.01,97.226,96.819,89.327,89.33,77.505,96.423,101.096,102.29,96.528,97.848,73.055,96.621,91.691,85.943,97.364,99.501,96.597,87.611,92.425,83.055,86.568,98.661,95.8,89.618,94.891,98.809,91.768
2010-06-01,91.385,101.275,91.293,81.76,96.361,78.542,80.685,105.048,102.661,76.975,84.638,95.55,83.833,91.7,100.414,95.647,93.192,95.282,96.0,93.185,98.547,98.74,91.906,86.997,94.081,98.391,97.845,90.524,90.145,78.013,97.504,101.786,102.879,97.894,98.494,73.691,97.933,92.596,85.978,98.53,101.087,97.989,88.997,93.753,83.576,87.309,98.845,96.783,89.598,95.457,99.847,91.652
2010-09-01,90.733,100.441,91.516,79.732,95.927,77.678,80.327,105.231,101.882,76.914,83.096,94.261,83.872,89.475,99.733,95.456,93.181,95.226,95.864,92.993,98.753,97.794,91.867,86.783,92.855,97.656,97.216,90.235,89.671,75.921,96.945,101.57,101.865,97.86,97.946,74.502,97.514,92.315,84.689,98.287,100.871,97.206,89.07,93.078,83.209,86.843,99.197,96.252,88.005,96.195,99.213,91.758
2011-01-01,88.219,97.81,91.477,75.258,94.394,74.909,78.303,102.508,99.355,75.875,79.147,90.807,82.146,84.623,96.329,93.348,92.318,93.696,94.488,91.618,97.137,94.83,90.537,83.246,88.995,95.599,94.745,87.454,88.874,71.798,94.771,99.176,99.27,96.385,95.749,74.904,94.544,90.438,81.157,96.76,98.396,94.649,88.566,90.856,82.003,82.986,98.501,94.006,85.055,94.079,97.024,90.507
2011-03-01,86.672,96.479,91.264,71.558,93.733,73.709,76.919,100.632,96.527,76.991,76.742,86.892,82.244,81.558,94.355,92.551,91.748,92.264,93.55,91.226,95.521,92.968,89.505,81.869,86.983,95.583,93.293,87.196,88.576,66.927,93.119,97.179,97.439,95.007,93.824,75.918,93.129,90.433,78.789,95.431,95.09,92.355,87.803,89.699,81.591,81.195,97.294,92.849,82.904,92.742,95.408,89.466
2011-06-01,87.321,97.263,91.554,72.161,94.558,74.015,77.711,100.929,95.595,77.282,77.568,87.425,82.836,83.142,95.046,93.644,92.619,93.34,94.295,91.322,96.322,94.372,89.985,83.536,88.103,96.491,94.605,87.487,89.452,66.502,93.631,96.881,97.765,94.597,94.276,76.802,94.289,90.239,79.507,95.557,95.271,93.128,88.681,90.727,82.284,82.685,97.516,93.638,83.157,94.265,96.288,90.655
2011-09-01,87.721,97.992,92.195,73.798,95.028,73.789,78.398,101.725,96.807,78.17,78.234,87.226,82.803,84.655,95.017,94.161,93.027,94.129,94.659,92.47,96.914,94.8,90.093,84.199,88.983,97.037,95.062,87.931,90.052,66.578,94.064,96.908,98.207,95.333,94.658,77.492,94.572,91.528,80.289,95.941,95.917,94.095,89.183,90.983,82.358,83.059,98.789,94.283,83.23,94.775,96.636,90.672
2012-01-01,86.803,96.973,91.545,73.447,94.828,72.968,77.983,100.036,96.049,78.682,76.684,84.988,83.114,83.96,93.813,93.294,93.011,93.441,94.555,92.002,95.839,93.443,89.52,82.554,87.338,96.041,94.225,88.398,89.93,65.973,92.735,95.59,96.49,94.604,93.313,78.113,93.448,91.605,78.877,95.143,94.465,92.523,89.171,90.194,82.321,82.858,98.423,93.246,81.892,93.889,95.737,90.884
2012-03-01,86.414,96.314,91.326,74.335,93.866,73.092,78.194,99.005,94.045,79.195,76.125,83.519,82.508,82.932,92.621,93.119,92.993,92.972,94.215,92.209,94.882,92.531,89.27,82.145,86.765,95.503,93.332,88.223,90.059,65.674,91.959,94.318,95.88,93.65,92.217,80.265,92.986,91.483,78.083,94.704,92.702,92.082,89.697,89.802,82.879,82.421,97.974,92.639,81.194,94.251,94.949,91.063
