services,agcid,adr1,adr2,city,email,fax,nme,phone1,statecd,weburl,zipcd,agc_ADDR_LATITUDE,agc_ADDR_LONGITUDE,languages,faithbased,counslg_METHOD,language_ARA,language_ASL,language_CAM,language_CAN,language_CHI,language_CRE,language_CZE,language_ENG,language_FAR,language_FRE,language_GER,language_HIN,language_HMO,language_IND,language_ITA,language_KOR,language_OTH,language_POL,language_POR,language_RUS,language_SPA,language_SWA,language_TUR,language_UKR,language_VIE,service_DFC,service_DFW,service_FBC,service_FBW,service_FHW,service_HIC,service_HMC,service_NDW,service_PLW,service_PPC,service_PPW,service_RHC,service_RHW,service_RMC,counseling_FTF,counseling_GRP,counseling_OTH,counseling_TEL,counseling_VID,counseling_WEB,dqf_current,dqf_forecast,dqf_rmse_train,dqf_rmse_test,dqf_mae_train,dqf_mae_test,dqf_mape_train,dqf_mape_test,pp_current,pp_forecast,pp_rmse_train,pp_rmse_test,pp_mae_train,pp_mae_test,pp_mape_train,pp_mape_test
"DFC,PPC,PPW",80458,901 E Levee St,,Brownsville,info@cdcb.org,,cdcb-come dream.come build.,956-541-4955,TX,http://www.cdcbrownsville.org,78520,25.902609,-97.500886,"ASL,ENG,SPA",No,"GRP,VID,WEB,TEL,FTF",0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,2.119562223733624,0.0053521797745509,10623.75,55758.81,3360.18,15102.85,4.228304013374089e+18,6.235581656215674e+18,-7.033935089578037,-0.00787074509286,9010.42,47620.53,2445.06,10977.92,3.079742544393052e+18,3.9373994365811937e+18
"DFC,FBC,FBW,FHW,HMC,PLW,PPC,PPW,RHC,RHW,RMC",90614,56 E 47th St,Suite 525C,Chicago,alexandria.cummings@ywcachicago.org,312-328-0879,YWCA METROPOLITAN CHICAGO,312-328-0873,IL,https://www.ywcachicago.org,60653,41.809512,-87.623656,"ENG,SPA",No,"GRP,OTH,VID,WEB,TEL,FTF",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-0.0175079994570808,0.0114772217186156,6016.04,30680.93,1988.65,8877.99,9.933588904204608e+17,1.95176124715834e+18,-10.062770967617766,0.0109652229690386,5126.2,26340.51,1454.39,6456.65,6.989620097552755e+17,1.3110384397008435e+18
"DFC,FBC,FBW,FHW,HMC,PPC,PPW,RHC",80961,100 W 10th St,Suite 515,Wilmington,,,YWCA DELAWARE,302-224-4060,DE,https://www.ywcade.org/,19801,39.745647,-75.548472,ENG,No,"GRP,OTH,VID,WEB,TEL,FTF",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,-0.2836032828312227,0.0057875830918844,482.82,2279.85,172.9,685.69,8.85861619394243e+16,2.504508105750852e+17,-6.0932839409204576,0.0053029569167211,408.53,1949.23,125.86,497.3,6.099739667083842e+16,1.7678203410554115e+17
"NDW,PPC,PPW,RHC",82697,820 Canfield Rd,,Youngstown,,,YOUNGSTOWN NEIGHBORHOOD DEVELOPMENT CORP.,330-480-0423,OH,http://www.yndc.org,44511,41.06982,-80.678502,"ENG,SPA",No,"TEL,WEB,FTF",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,2.5495712038252947,-0.0040822533870249,5315.85,27804.9,1627.98,7923.94,5.632705709020264e+17,5.7323134944737184e+17,18.155573136876697,-0.0042249651122932,4540.97,23796.89,1190.22,5838.4,3.8508504125492576e+17,3.944115144184188e+17
"DFC,FBC,FBW,FHW,NDW,PPC,PPW,RHC",80291,660 Fitzhugh Blvd Ste 105,,Smyrna,deborah@ycmihoc.com,615-355-1905,"YOU CAN MAKE IT HOME OWNERSHIP CENTER, INC.",615-355-0005,TN,https://www.ycmihoc.com,37167,36.015361,-86.507326,"ENG,SPA",No,"GRP,OTH,VID,WEB,TEL,FTF",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,-0.6759154328510846,0.0005717634714939,7695.56,14756.45,1519.18,4403.5,2.0446228092886093e+18,2.913566484025865e+18,-8.892641181950452,-0.0012546338352227,6495.17,12587.51,1048.13,3107.81,1.314085509325821e+18,2.0870570868161848e+18
"DFC,FBC,FHW,HIC,HMC,NDW,PLW,PPC,PPW,RHC",81150,6 Spruce Street,,SANFORD,meaghan.arzberger@yccac.org,207-490-5026,YORK COUNTY COMMUNITY ACTION AGENCY,207-459-2903,ME,http://www.yccac.org,4073,43.442585,-70.770901,ENG,No,"TEL,GRP,VID,FTF",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,-0.751499358528676,-0.0064847604687687,647.08,5089.43,233.02,1230.91,1.0492216757863197e+17,2.431658524126844e+17,-7.363986075956973,-0.0068144745272344,550.73,4342.94,168.91,884.41,7.256333149291541e+16,1.441251950613582e+17
"DFC,FBC,FBW,PPC,PPW,RHC,RMC",84682,2345 E 2nd St,,Casper,mnoah@whninc.org,,"WYOMING HOUSING NETWORK, INC.",307-472-5843-5843,WY,http://www.whninc.org,82609,42.848568,-106.295136,"ENG,SPA",No,"TEL,GRP,VID,FTF",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,-0.122633463827583,-0.0035386078907558,410.26,880.56,127.59,312.09,1.5736054487175942e+16,6.331806093763079e+16,-10.945084077811243,-0.0020493634397912,351.8,749.27,93.74,224.38,1.2166041437799418e+16,4.497641345226434e+16
"DFC,FBC,HIC,NDW,PLW,PPC,PPW,RHC",80441,59 Cumberbach St,,Wyandanch,sondrawcdc@optonline.net,631-643-9128,WYANDANCH COMMUNITY DEVELOPMENT CORPORATION,631-643-4786,NY,https://www.wyandanchcdc.org,11798,40.739064,-73.364721,ENG,No,"GRP,FTF",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,-2.912904953259442,-0.0088955788188022,7462.46,84938.81,3084.53,19971.71,1.7426795177755502e+18,2.773904139953548e+18,-12.84393140801052,0.0040838022680791,6409.58,73305.45,2268.01,14751.38,1.360182662531959e+18,2.2405458784348283e+18
"DFC,DFW,FBC,NDW,PPC,PPW",83451,1814 Dreman Ave,,Cincinnati,winfo@wincincy.org,513-541-4616,WORKING IN NEIGHBORHOODS,513-541-4109,OH,http://wincincy.org,45223,39.15359,-84.549061,ENG,No,"GRP,OTH,VID,WEB,TEL,FTF",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2.5495712038252947,-0.0040822533870249,5315.85,27804.9,1627.98,7923.94,5.632705709020264e+17,5.7323134944737184e+17,18.155573136876697,-0.0042249651122932,4540.97,23796.89,1190.22,5838.4,3.8508504125492576e+17,3.944115144184188e+17
"DFC,NDW,PPC,PPW,RHC,RMC",81758,643 Spence Ln,,Nashville,dhill@woodbinecommunity.org,615-833-9727,WOODBINE COMMUNITY ORGANIZATION,615-850-3452,TN,http://www.woodbinecommunity.org/,37217,36.139109,-86.723137,"ENG,SPA",No,"TEL,GRP,OTH,FTF",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,-0.6759154328510846,0.0005717634714939,7695.56,14756.45,1519.18,4403.5,2.0446228092886093e+18,2.913566484025865e+18,-8.892641181950452,-0.0012546338352227,6495.17,12587.51,1048.13,3107.81,1.314085509325821e+18,2.0870570868161848e+18
