index,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
1975-Q1,26.31,20.061,18.879,26.101,7.965,12.86,16.104,18.268,6.289,18.894,24.956,12.033,22.535,21.035,25.681,22.358,25.009,21.412,19.85,13.082,14.327,10.172,21.827,16.504,30.233,22.974,14.537,22.867,18.797,19.316,13.381,19.515,13.291,20.685,19.619,25.92,23.586,11.801,18.514,13.111,23.066,22.823,21.996,20.809,14.951,17.358,16.686,9.961,23.29,20.303,16.9
1975-Q2,25.329,20.772,18.674,23.656,8.168,12.988,16.176,21.235,6.462,23.946,24.304,10.02,20.941,19.713,23.678,23.931,25.175,21.926,21.167,18.936,14.438,9.898,22.675,16.659,28.992,25.972,14.352,22.601,18.747,13.375,12.417,20.163,12.835,21.02,17.121,25.813,24.11,11.886,18.2,14.079,21.366,21.361,22.238,21.918,15.624,17.293,15.938,10.192,30.353,20.562,16.444
1975-Q3,26.139,21.78,18.494,25.471,8.46,12.967,15.962,27.433,6.388,19.187,25.081,10.302,18.439,20.331,24.106,24.225,25.608,22.364,20.31,14.68,15.068,10.09,22.889,17.334,29.168,23.051,15.09,21.98,19.366,14.505,12.578,20.355,13.16,21.619,19.122,25.685,23.848,12.505,19.398,13.836,22.109,19.804,21.902,21.0,14.973,15.069,16.101,10.726,30.71,21.209,17.212
1975-Q4,25.144,22.044,17.546,24.485,8.747,13.012,16.011,17.012,7.385,19.586,24.865,10.415,19.939,21.149,24.643,24.775,26.126,22.801,21.363,15.266,15.459,10.534,22.581,17.91,29.385,22.896,14.839,24.418,17.559,12.971,13.169,19.121,13.523,22.092,18.262,26.307,24.744,12.33,18.791,14.311,21.445,19.412,22.933,22.236,16.232,16.322,16.187,10.367,30.965,22.663,18.404
1976-Q1,27.039,23.038,18.379,26.136,9.133,13.012,16.724,18.869,7.166,19.511,24.061,9.984,18.291,21.472,24.238,25.545,26.935,23.188,22.595,11.964,15.552,10.09,22.715,18.674,29.361,23.578,15.212,24.131,21.156,20.468,13.167,20.472,12.375,21.497,21.667,26.542,24.771,13.195,19.019,14.058,21.727,19.126,22.607,21.989,16.688,26.259,16.598,10.868,28.742,21.481,18.648
1976-Q2,26.02,23.128,19.519,26.852,9.603,14.175,16.566,20.031,7.155,21.793,24.669,10.524,23.88,22.261,25.553,26.529,27.206,22.881,22.599,15.024,16.161,10.354,23.266,18.638,30.004,27.223,16.61,24.321,21.249,16.288,13.377,21.075,12.694,21.885,21.038,27.399,27.576,13.135,20.075,14.701,23.697,20.005,22.173,23.791,16.631,12.917,16.385,11.572,31.067,21.508,19.062
1976-Q3,27.102,23.975,18.96,27.986,10.235,14.111,17.359,19.061,7.964,19.815,26.708,10.177,20.857,23.263,25.545,28.007,27.724,23.045,22.338,17.936,16.341,10.298,23.309,18.803,28.911,24.394,16.514,24.404,21.937,15.756,13.811,21.881,12.801,22.136,20.636,28.34,26.793,13.846,20.256,15.057,23.443,20.896,23.085,23.704,17.546,18.216,16.856,12.211,31.916,22.194,20.073
1976-Q4,27.936,23.898,19.019,28.272,10.621,14.713,17.533,20.592,7.777,20.194,26.455,10.48,22.412,23.152,26.685,26.898,28.493,23.148,23.705,15.161,16.603,10.529,23.784,19.247,33.495,24.313,16.648,25.316,21.948,17.465,13.006,22.426,12.521,22.161,21.038,28.85,28.182,14.666,19.657,14.836,23.149,20.257,23.156,23.618,17.372,17.85,17.2,12.475,29.244,22.433,21.584
1977-Q1,28.479,25.375,19.771,28.628,11.088,15.396,16.582,21.28,8.047,20.401,25.915,10.445,23.468,25.412,27.665,28.746,29.355,23.315,24.105,16.006,16.705,10.871,24.393,19.877,30.189,25.104,16.846,25.952,22.884,17.794,13.631,24.054,13.179,23.527,23.727,29.181,29.037,15.495,19.51,14.812,23.195,19.105,24.239,24.705,18.911,25.673,17.463,12.902,31.587,23.874,21.735
1977-Q2,29.289,24.937,19.886,29.402,12.041,15.533,17.685,18.455,8.642,22.711,25.732,10.975,24.463,26.565,27.696,29.534,30.662,24.503,25.034,17.335,17.006,10.48,24.694,20.531,31.04,28.598,18.333,26.573,23.359,17.046,13.683,24.033,14.048,23.189,24.726,30.007,28.852,15.938,21.014,15.45,24.223,21.397,25.032,26.806,19.202,18.492,17.943,13.578,39.536,24.964,22.201
1977-Q3,30.922,25.462,20.56,30.658,12.983,16.339,18.468,19.449,9.006,20.843,26.583,11.332,24.679,26.363,28.758,30.149,31.305,25.565,24.058,17.502,17.747,11.046,25.828,21.811,31.466,27.255,19.525,28.143,25.282,16.494,14.127,25.027,13.967,24.051,23.065,31.442,30.788,17.085,21.163,16.034,24.926,24.067,25.274,25.963,20.284,17.116,18.473,14.524,33.838,25.621,23.051
1977-Q4,31.282,25.533,21.787,31.733,13.503,17.299,18.711,19.61,9.773,21.483,26.536,11.675,25.323,28.109,30.387,31.488,32.211,26.199,26.305,18.582,17.865,11.016,26.332,22.325,34.535,28.204,20.337,28.739,26.106,18.661,14.544,26.032,14.328,25.568,22.577,32.363,31.594,18.039,21.817,16.516,25.364,24.781,25.762,27.495,20.379,17.244,18.863,15.277,39.652,26.566,24.432
1978-Q1,31.044,25.533,22.15,31.741,13.99,17.988,19.013,20.19,9.359,22.516,28.433,12.221,28.913,28.825,31.869,32.329,33.312,27.224,28.052,17.712,18.953,11.711,27.394,22.817,34.82,29.058,22.981,28.326,26.664,18.479,14.922,26.388,14.114,25.997,25.492,33.18,32.49,18.466,22.013,17.093,25.238,23.118,27.376,28.716,22.119,20.379,19.207,16.048,39.151,27.797,25.076
1978-Q2,31.048,27.796,23.014,32.672,14.524,18.927,20.573,21.143,10.528,23.937,27.586,12.124,29.206,31.104,32.881,33.894,34.339,27.998,28.175,19.661,19.303,11.961,28.807,24.504,35.347,32.605,22.803,30.793,28.594,18.491,15.356,26.776,14.828,26.016,24.313,34.475,35.335,19.537,22.895,17.462,26.587,25.608,26.971,29.552,22.806,20.653,19.924,17.204,37.262,28.729,26.234
1978-Q3,33.907,28.401,24.539,33.74,15.024,19.915,22.521,20.23,10.975,23.845,28.811,12.415,29.676,31.51,33.826,34.373,35.743,29.537,29.853,19.382,19.861,12.691,30.065,25.558,37.343,31.649,22.849,31.123,30.049,20.567,16.012,27.855,14.225,27.179,25.94,35.516,36.987,20.349,22.615,18.08,27.028,26.07,28.145,30.451,23.674,22.338,20.569,18.141,38.65,29.819,27.026
1978-Q4,33.767,27.957,25.828,33.783,15.632,20.713,22.795,19.82,10.912,24.307,29.145,13.941,29.0,32.33,34.849,35.968,36.476,30.612,31.478,20.24,20.446,13.108,31.46,26.152,36.331,31.972,23.529,31.271,32.173,20.917,16.672,28.723,14.206,27.335,24.827,36.445,38.321,21.231,22.963,18.684,27.468,26.034,29.296,32.035,24.461,19.87,21.331,18.758,39.299,30.413,28.225
1979-Q1,34.863,28.771,27.18,35.981,16.215,21.739,24.643,20.457,12.07,25.774,29.682,13.765,31.556,30.904,36.237,36.296,37.257,31.9,33.782,22.35,21.078,13.641,33.076,27.247,39.794,33.74,24.082,33.329,32.972,22.025,17.821,30.55,16.372,28.225,28.796,38.155,40.09,22.132,24.205,19.34,28.753,27.186,29.367,33.515,25.674,21.209,21.381,19.203,38.557,31.726,30.027
1979-Q2,35.123,32.145,28.77,37.108,16.935,22.403,25.196,20.597,11.97,26.526,30.759,15.242,30.851,32.483,37.497,37.514,38.082,32.594,35.299,22.131,21.94,14.059,34.819,28.181,40.906,36.06,25.414,33.824,35.359,22.97,18.257,31.499,16.247,28.711,28.481,39.295,41.176,22.189,25.374,19.711,29.349,27.575,29.71,34.747,26.472,19.638,21.89,20.268,41.202,32.727,31.672
1979-Q3,35.627,31.14,29.69,38.926,17.791,23.097,25.945,22.504,12.485,26.916,31.116,16.637,31.839,32.058,38.069,38.713,39.389,32.314,36.75,21.024,22.426,14.563,35.917,29.062,42.806,34.629,24.668,34.93,35.474,23.534,19.196,32.161,16.053,30.125,28.273,39.546,42.547,22.686,25.204,19.858,29.915,30.226,31.272,35.646,26.592,21.436,22.617,20.708,41.197,32.642,33.536
1979-Q4,37.828,31.33,30.796,39.673,18.422,23.564,26.301,22.788,13.335,28.136,32.274,17.235,32.615,31.551,38.042,38.283,39.571,33.155,37.434,22.633,22.725,14.702,36.044,29.605,37.379,35.357,26.464,35.3,35.874,23.674,19.743,32.655,16.63,30.159,28.935,40.18,43.47,23.101,25.853,21.483,30.713,27.578,31.139,36.332,27.056,24.457,22.827,21.168,44.023,32.892,33.153
1980-Q1,35.039,32.19,31.066,39.114,19.11,23.697,25.836,23.663,13.528,28.701,33.756,18.558,32.197,31.693,38.893,37.71,40.461,33.379,38.401,21.459,23.153,14.995,36.24,29.85,40.171,35.149,25.37,35.914,36.004,24.622,20.96,34.279,16.95,31.341,28.886,39.865,45.244,23.085,26.153,21.319,30.588,30.403,32.332,37.459,27.14,22.441,23.895,21.594,46.404,32.826,34.266
1980-Q2,36.128,26.75,30.678,39.56,19.656,24.246,26.257,25.36,12.995,28.607,33.922,18.874,32.747,31.966,38.695,38.079,41.003,33.709,38.136,22.416,23.871,15.585,36.914,30.569,38.91,39.065,23.681,37.092,36.54,23.96,21.289,33.515,18.138,30.958,31.055,39.766,44.877,22.796,25.17,21.928,31.818,32.534,32.4,39.126,26.689,22.677,24.172,21.639,48.724,33.148,33.533
1980-Q3,38.542,23.734,33.328,41.829,20.362,25.384,26.821,26.025,13.346,30.392,34.455,18.803,33.659,32.457,39.699,38.313,41.347,33.763,38.77,23.474,24.292,16.253,37.265,31.832,41.894,36.928,27.375,36.521,37.847,25.112,21.13,33.978,19.445,31.72,28.828,40.706,47.072,24.334,26.559,21.754,33.439,29.804,32.135,38.924,28.128,23.294,24.927,22.356,47.657,34.457,34.753
1980-Q4,38.185,30.593,33.505,42.697,20.713,25.251,27.074,25.246,13.745,31.198,34.749,20.002,33.04,30.308,39.422,36.79,42.051,34.901,39.427,22.7,24.91,16.293,36.878,31.262,41.999,37.139,26.022,38.005,38.247,24.206,21.759,35.966,18.843,32.096,27.774,41.249,46.189,23.53,26.58,20.943,32.488,28.898,32.426,39.576,28.421,24.762,24.911,21.995,54.747,33.371,32.539
1981-Q1,36.962,28.82,33.766,42.99,21.101,25.242,26.978,25.881,12.407,31.574,36.203,18.972,35.452,32.258,40.438,35.832,39.737,35.839,40.936,25.594,25.605,16.873,37.421,29.984,37.817,36.302,24.328,36.712,38.92,24.041,21.864,34.633,18.977,33.234,29.874,41.205,46.624,22.531,26.616,20.234,34.751,28.065,31.197,39.141,28.804,24.789,25.35,21.604,46.0,33.699,36.665
1981-Q2,38.241,35.026,34.841,41.692,21.587,25.713,28.35,24.622,14.341,32.217,36.43,18.209,32.731,33.792,39.979,35.225,41.679,35.278,41.608,24.406,26.135,17.791,37.505,29.853,46.289,36.548,25.967,37.013,42.088,24.716,22.203,38.06,18.365,33.243,28.38,41.328,48.252,22.88,27.194,22.623,35.476,29.959,34.421,41.629,29.786,24.324,25.226,22.488,44.079,33.804,37.597
1981-Q3,39.397,37.543,36.261,42.713,22.233,27.142,29.51,27.499,12.937,31.006,36.703,16.12,33.108,32.673,40.768,33.211,41.768,34.47,42.683,23.337,25.769,18.217,38.516,30.904,43.172,36.236,29.019,36.08,42.527,24.442,22.551,39.061,19.594,33.205,33.747,41.161,50.664,22.222,27.317,22.086,36.1,31.67,35.042,42.869,29.412,22.724,25.384,22.723,50.339,33.899,37.641
1981-Q4,37.411,41.66,34.142,40.315,22.46,26.154,28.857,25.445,13.969,30.076,38.111,9.16,38.321,33.078,41.593,38.724,42.46,34.57,43.378,25.206,26.468,18.209,38.179,31.823,37.592,35.933,25.495,35.975,41.293,26.161,22.199,40.278,19.369,32.732,31.855,40.001,51.401,20.497,26.538,21.653,35.461,26.386,31.543,42.082,29.965,14.116,26.244,22.39,50.334,29.914,37.528
1982-Q1,38.29,44.042,32.778,40.346,19.943,28.348,28.893,24.241,10.334,32.435,38.34,20.954,30.194,30.131,40.663,36.122,41.833,35.522,42.288,22.575,24.76,18.521,37.903,26.68,41.416,36.253,26.768,38.159,42.941,26.117,22.094,36.148,20.905,33.434,28.75,35.548,52.831,22.325,27.131,22.51,36.568,20.917,34.236,45.873,28.953,27.45,23.372,18.713,31.944,28.309,38.31
1982-Q2,37.544,42.407,33.974,41.543,20.532,28.618,29.019,26.806,13.919,32.929,39.012,19.315,35.249,30.071,40.344,36.522,42.116,35.525,43.97,24.521,25.089,18.67,36.109,27.373,42.055,35.75,28.917,38.479,43.222,25.898,22.838,39.918,21.205,34.324,24.229,38.558,53.94,21.455,27.205,22.007,36.388,33.507,31.951,44.622,29.526,26.243,26.168,20.199,52.849,31.621,37.035
