,state,current,forecast,rmse_baseline,rmse_train,rmse_test,mae_baseline,mae_train,mae_test,mape_baseline,mape_train,mape_test
0,alabama,-10.070699956752506,-0.00019065578566712389,19344.69,1240.66,7861.92,5733.34,312.24,1655.55,5.371026225229129e+18,1.4832433594576813e+17,2.641962341555601e+17
1,alaska,-9.962475243786855,-7.197844233912187e-05,5661.12,434.44,1668.1,1825.19,123.79,405.69,1.7286046123005885e+18,1.1979211076769926e+16,6394222328529988.0
2,arizona,-9.616313899497015,0.001001708852786944,27126.73,2849.13,9271.3,8748.84,735.35,2425.07,7.36425537488506e+18,8.809351446373123e+17,1.766654837067341e+18
3,arkansas,-8.997391721101039,-0.002324042738774377,11403.06,666.01,4436.4,3445.46,207.31,935.38,2.683276916810247e+18,8.335155344696266e+16,9.231917536862218e+16
4,california,-4.833715105072372,0.002608268850690029,357772.89,14138.56,102772.04,104989.15,4189.21,22042.63,8.671758405562606e+19,3.191485242113124e+18,1.7490282746196024e+18
5,colorado,-19.479096390212646,-0.0008091267041084212,32078.47,1993.24,9847.6,9897.57,546.7,2390.91,9.325824401723677e+18,5.89639335769528e+17,5.6605863743274477e+17
6,connecticut,14.004975781365701,-0.0035226875417232713,30014.04,1477.81,9245.47,8615.72,446.78,1961.67,8.021349114403878e+18,2.4918341021535892e+16,4.598451058125593e+16
7,delaware,-6.0932839409204576,0.005302956916721179,5598.59,408.53,1949.23,1743.97,125.86,497.3,1.6828609688538143e+18,6.099739667083842e+16,1.7678203410554115e+17
8,district_of_columbia,-17.83413575600879,0.2863397525445394,11598.21,378.77,2939.57,3417.55,113.52,713.19,3.9896714779118213e+18,1.032495370456023e+17,7.160141519543035e+16
9,florida,-4.967511598530464,-0.002769434979770443,109960.53,7158.04,43511.59,33240.18,1728.56,9430.19,2.85836617630982e+19,2.2809863824937334e+18,2.6764302918342374e+18
10,georgia,-19.05194422543775,-0.0017119082246818493,79610.89,3347.57,27329.71,23478.74,864.33,5982.39,1.344047199977574e+19,1.0573084957303023e+18,1.161292167761613e+18
11,hawaii,-27.972794369041495,0.35297154660553726,21778.89,415.05,5887.72,6104.28,99.78,1207.3,6.808196126729691e+18,6.9777452416657704e+16,7.565884479379528e+16
12,idaho,-18.62278585573216,-0.0006798004016412246,4757.84,1061.99,2517.37,1640.4,348.83,754.73,9.854987907904988e+17,4.9115170622079245e+17,6.93255654025056e+17
13,illinois,-10.062770967617766,0.010965222969038615,91345.86,5126.2,26340.51,28270.31,1454.39,6456.65,2.7506574551491842e+19,6.989620097552755e+17,1.3110384397008435e+18
14,indiana,-18.387096761675423,-0.0016974639717529704,36070.8,2031.68,12293.84,11178.44,569.05,2887.31,1.2388386775016794e+19,3.1393267924354003e+17,5.989833983235409e+17
15,iowa,-32.30514411984035,-0.002311904981135162,17509.39,1397.03,6108.82,5341.13,415.41,1510.49,3.8844574952688906e+18,1.0959657589097826e+17,1.2286023576019629e+17
16,kansas,-12.265733698862604,-0.0035146295370224352,13322.64,794.56,4449.25,4385.76,224.55,1136.74,3.891722991809136e+18,2.6940920544298292e+16,7.433698322445109e+16
17,kentucky,-9.494583011351722,-0.0017312660704401472,23102.65,1201.26,8775.67,7082.85,380.96,2010.24,5.337601790039932e+18,1.689142059181111e+17,2.2724122127475443e+17
18,louisiana,-13.655030858944627,0.0025042442080662093,38720.23,861.3,12201.84,10952.61,256.43,2499.93,9.281842619185314e+18,5.551121579766973e+16,5.024197501685463e+16
19,maine,-7.363986075956973,-0.006814474527234413,9799.69,550.73,4342.94,2773.75,168.91,884.41,2.387523409888542e+18,7.256333149291541e+16,1.441251950613582e+17
20,maryland,-2.640065459953945,0.14667208100857626,47528.46,1706.22,17127.09,13003.01,506.01,3534.17,1.5660418553798943e+19,1.895904458222558e+17,2.526123401413269e+17
21,massachusetts,-14.633486593533377,-0.002005470846429628,70866.88,3276.02,20249.37,20989.68,1040.52,4926.87,5.333977214802549e+18,4.9705704254492243e+17,2.894517124816446e+17
22,michigan,-9.848757213056146,-0.005120926469875758,93228.75,4490.84,35787.01,26454.01,1427.26,7286.13,1.6240831336322992e+19,5.369934147771636e+17,4.922206444956965e+17
23,minnesota,-5.838946424109551,-0.004003004229805644,44129.43,3298.31,13983.3,13285.34,881.65,3376.28,1.2787041677406962e+19,3.722174796281958e+17,3.7723988670869645e+17
24,mississippi,-9.293866546719812,4.864177903068402e-06,15786.18,705.45,6902.17,4556.7,202.45,1257.8,2.9073985514193777e+18,9.048290194970938e+16,7.613669377716614e+16
25,missouri,-17.49122688067135,-0.0030728497587152303,28730.44,2285.32,10357.53,8601.34,607.44,2516.98,8.713687671562965e+18,2.024049180794057e+17,2.7662458410233194e+17
26,montana,-13.746838656960875,-0.00037305421059882337,4608.75,558.02,1755.11,1534.34,175.75,518.62,9.605683719220412e+17,9.094022721712435e+16,1.9118329492145344e+17
27,nebraska,-15.843445100490442,-0.001439960762051919,7733.02,542.81,2559.36,2438.79,177.07,642.89,2.253531681072268e+18,9.089402284632699e+16,8.727429968385832e+16
