index,all_items,all_items_no_fe,shelter
1999-12-01,100.0,100.0,100.0
2000-01-01,100.3,100.3,100.8
2000-02-01,100.9,100.7,101.3
2000-03-01,101.6,101.2,102.0
2000-04-01,101.6,101.3,102.0
2000-05-01,101.7,101.2,102.1
2000-06-01,102.1,101.2,102.6
2000-07-01,102.3,101.4,103.1
2000-08-01,102.3,101.6,103.4
2000-09-01,102.8,101.9,103.3
2000-10-01,102.9,102.2,103.6
2000-11-01,102.8,102.2,103.5
2000-12-01,102.6,101.9,103.4
2001-01-01,103.3,102.2,104.2
2001-02-01,103.7,102.7,104.9
2001-03-01,103.9,103.2,105.7
2001-04-01,104.2,103.2,105.8
2001-05-01,104.6,103.1,105.9
2001-06-01,104.8,103.4,106.6
2001-07-01,104.5,103.5,107.0
2001-08-01,104.6,103.8,107.5
2001-09-01,104.9,103.9,107.1
2001-10-01,104.7,104.2,107.3
2001-11-01,104.4,104.3,107.4
2001-12-01,103.9,104.1,107.6
2002-01-01,104.2,104.3,108.2
2002-02-01,104.5,104.8,109.1
2002-03-01,105.1,105.2,109.6
2002-04-01,105.6,105.3,109.8
2002-05-01,105.6,105.3,109.8
2002-06-01,105.6,105.1,110.0
2002-07-01,105.7,105.3,110.4
2002-08-01,106.0,105.6,110.8
2002-09-01,106.3,105.9,110.6
2002-10-01,106.4,106.1,110.8
2002-11-01,106.3,106.0,110.8
2002-12-01,106.0,105.8,110.7
2003-01-01,106.5,106.0,111.4
2003-02-01,107.3,106.2,111.7
2003-03-01,107.9,106.5,112.1
2003-04-01,107.7,106.5,112.1
2003-05-01,107.5,106.5,112.4
2003-06-01,107.6,106.4,112.5
2003-07-01,107.7,106.5,113.0
2003-08-01,108.2,106.7,113.2
2003-09-01,108.5,106.8,112.9
2003-10-01,108.4,107.1,113.3
2003-11-01,108.0,106.9,113.0
2003-12-01,107.8,106.6,113.0
2004-01-01,108.5,107.0,113.6
2004-02-01,109.1,107.5,114.0
2004-03-01,109.7,108.1,115.0
2004-04-01,110.0,108.3,115.3
2004-05-01,110.6,108.3,115.4
2004-06-01,110.8,108.2,115.6
2004-07-01,110.7,108.3,116.1
2004-08-01,110.7,108.4,116.3
2004-09-01,111.0,108.8,116.3
2004-10-01,111.6,109.2,116.6
2004-11-01,111.6,109.2,116.3
2004-12-01,111.2,109.0,116.4
2005-01-01,111.3,109.3,116.9
2005-02-01,111.9,109.8,117.6
2005-03-01,112.6,110.2,118.3
2005-04-01,113.4,110.4,118.3
2005-05-01,113.3,110.3,118.2
2005-06-01,113.2,110.2,118.5
2005-07-01,113.7,110.2,119.0
2005-08-01,114.3,110.4,119.0
2005-09-01,115.6,110.7,118.5
2005-10-01,115.7,111.1,119.1
2005-11-01,114.9,111.1,119.1
2005-12-01,114.4,111.0,119.3
2006-01-01,115.2,111.2,119.9
2006-02-01,115.4,111.8,120.6
2006-03-01,116.0,112.4,121.4
2006-04-01,116.9,112.7,121.8
2006-05-01,117.5,112.7,122.0
2006-06-01,117.7,112.9,122.6
2006-07-01,118.1,113.0,123.3
2006-08-01,118.3,113.3,123.6
2006-09-01,117.8,113.6,123.4
2006-10-01,117.1,113.8,123.8
2006-11-01,116.9,113.6,123.9
2006-12-01,117.0,113.4,124.1
2007-01-01,117.33,113.755,124.797
2007-02-01,117.877,114.276,125.474
2007-03-01,118.913,114.623,125.928
2007-04-01,119.666,114.831,126.302
2007-05-01,120.292,114.776,126.309
2007-06-01,120.439,114.785,126.867
2007-07-01,120.377,114.887,127.367
2007-08-01,120.288,115.163,127.506
2007-09-01,120.638,115.467,127.375
2007-10-01,120.885,115.813,127.662
2007-11-01,121.481,115.802,127.644
2007-12-01,121.295,115.627,127.742
2008-01-01,121.867,116.008,128.426
2008-02-01,122.25,116.426,128.86
2008-03-01,123.323,116.92,129.506
2008-04-01,124.116,117.031,129.562
2008-05-01,125.171,117.093,129.597
2008-06-01,126.307,117.242,130.107
2008-07-01,126.918,117.532,130.61
2008-08-01,126.594,117.826,130.535
2008-09-01,126.551,118.063,130.458
2008-10-01,125.5,118.204,130.596
2008-11-01,123.044,117.986,130.479
2008-12-01,121.557,117.623,130.352
2009-01-01,122.095,117.954,130.93
2009-02-01,122.598,118.348,131.218
2009-03-01,122.803,118.807,131.571
2009-04-01,123.053,119.04,131.728
2009-05-01,123.427,119.023,131.725
2009-06-01,124.485,119.115,131.99
2009-07-01,124.293,119.169,132.025
2009-08-01,124.62,119.4,131.971
2009-09-01,124.706,119.694,131.569
2009-10-01,124.791,119.96,131.575
2009-11-01,124.788,119.677,131.003
2009-12-01,124.544,119.451,130.869
2010-01-01,124.987,119.478,130.891
2010-02-01,124.972,119.705,130.901
2010-03-01,125.442,119.908,130.904
2010-04-01,125.62,119.956,130.888
2010-05-01,125.678,119.945,130.916
2010-06-01,125.521,119.948,131.135
2010-07-01,125.536,119.958,131.258
2010-08-01,125.756,120.158,131.188
2010-09-01,125.83,120.328,131.158
2010-10-01,125.969,120.427,131.228
2010-11-01,125.92,120.329,131.29
2010-12-01,126.143,120.171,131.421
2011-01-01,126.778,120.407,131.658
2011-02-01,127.363,120.783,131.858
2011-03-01,128.585,121.103,132.057
2011-04-01,129.483,121.473,132.136
2011-05-01,129.999,121.628,132.305
2011-06-01,129.846,121.77,132.671
2011-07-01,129.983,121.929,133.108
2011-08-01,130.351,122.325,133.238
2011-09-01,130.635,122.641,133.292
2011-10-01,130.373,122.885,133.549
2011-11-01,130.196,122.898,133.694
