,state,current,forecast,rmse_baseline,rmse_train,rmse_test,mae_baseline,mae_train,mae_test,mape_baseline,mape_train,mape_test
0,alabama,0.0,0.0031442552775689863,22589.73,1460.34,9247.89,7816.7,430.3,2370.14,7.323580963370417e+18,2.2439478710413024e+17,4.5197788525451245e+17
1,alaska,0.4633274508797456,-0.0013790364423060541,6610.76,513.63,1939.09,2488.16,170.58,556.54,2.356691172876089e+18,1.6269627750323462e+16,6665567509904708.0
2,arizona,2.6872003931103876,0.0010346039306261996,31677.2,3451.55,10957.76,11928.78,1038.54,3409.99,1.0040583609737861e+19,1.2665317916541238e+18,2.689981947613106e+18
3,arkansas,0.43303726492344197,-0.0029694048599129136,13315.91,781.28,5173.78,4698.68,284.36,1276.06,3.6581605806338e+18,1.1714561810364211e+17,1.1889323127104181e+17
4,california,1.753671710412675,0.0007423057771413174,417788.72,16457.14,120032.16,143165.98,5698.08,30127.87,1.1825027380265055e+20,4.2961990986305044e+18,2.0876397242728335e+18
5,colorado,-2.484173932257562,-0.0018829329071531984,37459.58,2341.26,11538.7,13496.58,749.95,3309.53,1.27159148576405e+19,8.142775033674883e+17,1.0746706283057303e+18
6,connecticut,0.5641819405767734,-0.003606831814535155,35048.85,1724.2,10806.87,11746.2,608.1,2689.65,1.0937510785849424e+19,3.2202082518407556e+16,6.168907473906808e+16
7,delaware,-0.2836032828312227,0.00578758309188445,6537.74,482.82,2279.85,2376.55,172.9,685.69,2.2940759582695752e+18,8.85861619394243e+16,2.504508105750852e+17
8,district_of_columbia,2.676242068784603,29.524678961961058,13723.2,446.73,3474.66,4785.45,158.56,988.47,5.58505366478714e+18,1.447687477696884e+17,7.14387652293415e+16
9,florida,0.21793273929193901,-0.003729597563471516,128406.23,8349.55,50985.4,45326.72,2355.02,13141.65,3.8976321575995744e+19,3.0940524803217475e+18,4.4450213907055933e+18
10,georgia,2.754333320271698,-0.0007175090071923594,92965.49,3903.25,31923.61,32016.63,1172.54,8197.77,1.83267882751543e+19,1.389175399842041e+18,1.8961837414110505e+18
11,hawaii,-1.7624374079365452,-4.315916608312662,25769.13,492.83,6966.68,8546.97,139.93,1698.54,9.530610709364769e+18,9.525573340570992e+16,9.507958534666773e+16
12,idaho,0.9214982031285217,-0.0024929394806147663,5555.96,1238.72,2989.2,2234.76,474.09,1069.35,1.341917392417533e+18,6.611511044158438e+17,1.0707163995271348e+18
13,illinois,-0.017507999457080814,0.01147722171861564,106668.99,6016.04,30680.93,38548.39,1988.65,8877.99,3.750841657834556e+19,9.933588904204608e+17,1.95176124715834e+18
14,indiana,0.5026166696336958,-0.00027431571697253236,42121.61,2375.36,14376.95,15242.49,778.33,4004.58,1.68923798795655e+19,4.508390741663151e+17,9.224738258434029e+17
15,iowa,0.77381503106335,-0.0022321559088310794,20446.56,1629.02,7128.51,7283.44,564.43,2070.68,5.296374340459407e+18,1.4250107201309626e+17,1.899363682192862e+17
16,kansas,-1.536377602958467,-0.004289875661829733,15557.49,927.94,5198.51,5980.99,306.97,1541.22,5.306182728314024e+18,4.1136357078245304e+16,5.574876316187585e+16
17,kentucky,-2.0259280249130143,-0.001636682986835383,26978.08,1399.45,10247.04,9657.49,518.64,2759.04,7.277781224732307e+18,2.2700410600071354e+17,3.3695899787858195e+17
18,louisiana,1.967138727160517,0.0005007990123483091,45215.48,1011.16,14243.33,14935.63,350.81,3399.95,1.2656607813579616e+19,7.253342100570331e+16,4.76215514114307e+16
19,maine,-0.751499358528676,-0.0064847604687687105,11443.58,647.08,5089.43,3780.77,233.02,1230.91,3.254661041991539e+18,1.0492216757863195e+17,2.431658524126844e+17
20,maryland,2.286999388987155,-39.48486332947448,56236.44,2017.96,20260.08,18203.51,708.08,4942.67,2.192391122738676e+19,2.6801672125815117e+17,3.165131624021846e+17
21,massachusetts,-6.766843813211295,-0.0029179484557355084,82754.71,3814.41,23663.22,28629.94,1416.58,6746.05,7.272811459359441e+18,6.612513107420932e+17,3.54199578800877e+17
22,michigan,-3.286550624849994,-0.006988028881787966,108867.72,5223.24,41890.52,36072.05,1945.84,9898.36,2.2145758507077116e+19,7.609111581470598e+17,5.159221425238502e+17
23,minnesota,-1.5565932824043784,-0.0042764113178628774,51532.08,3859.13,16429.48,18115.0,1201.93,4612.73,1.7436151968078723e+19,5.035554809277483e+17,4.691628217786149e+17
24,mississippi,1.4023848708374516,-0.00018122067122253865,18434.28,824.2,8058.66,6212.98,273.72,1715.11,3.963968166147378e+18,1.0803547713269218e+17,1.1125880188753781e+17
25,missouri,-4.581008804001442,-0.003613055730074992,33549.93,2657.21,12089.03,11727.98,823.67,3461.24,1.1881488477639328e+19,2.557045410512949e+17,5.2621645349609325e+17
26,montana,-2.3310514817485455,0.00014036879481677065,5381.87,654.69,2053.46,2091.39,240.24,712.56,1.3085873770715835e+18,1.2245976211983285e+17,2.806386125841039e+17
27,nebraska,-1.1497770673545489,-0.0028867283323295604,9030.22,1224.43,2988.74,3324.56,475.05,883.02,3.072221857172776e+18,6.851774748945112e+17,1.3938908429934264e+17
28,nevada,1.8560231539480725,0.0027055469798969913,44204.45,1977.37,15053.72,15121.56,606.09,3839.85,1.047737870033301e+19,1.0339200666320744e+18,9.273919863373893e+17
29,new_hampshire,1.8240152957603328,-0.0009136672486649115,12336.51,538.61,4744.49,4550.79,184.31,1328.22,3.489961535735036e+18,1.4115969180768829e+17,4.0197069336892544e+17
30,new_jersey,-0.9745970142494116,-0.0023943964578519838,79684.81,4263.36,25005.11,26628.92,1619.51,6677.62,2.895811225758133e+19,2.8120141488493206e+17,4.145383015734758e+17
31,new_mexico,2.718926877990313,-0.003478118501477897,16157.38,509.52,4423.62,5720.88,148.89,1194.25,5.348074908075299e+18,1.9104160547564324e+16,4.3092510566556536e+16
32,new_york,-2.912904953259442,-0.008895578818802248,262947.05,7462.46,84938.81,85679.89,3084.53,19971.71,8.671254722913342e+19,1.7426795177755502e+18,2.7739041399535473e+18
33,north_carolina,0.09209566474035569,-0.001204743505015508,62084.48,3829.32,25305.03,20865.68,1129.67,6119.47,1.614034746107902e+19,1.0214959247395732e+18,1.817620445401622e+18
34,north_dakota,-0.4717384074413786,0.0013596744681931199,5734.75,757.68,1619.48,2050.55,268.42,558.86,2.467398468718037e+18,1.4358543396627702e+17,1.6441100756662224e+17
35,ohio,2.5495712038252947,-0.004082253387024925,76142.34,5315.85,27804.9,27100.94,1627.98,7923.94,2.4485708655945847e+19,5.6327057090202643e+17,5.7323134944737184e+17
36,oklahoma,1.4795145601332678,0.0002588353999726893,21065.16,1236.59,7138.46,7748.48,352.97,2044.26,6.633242082908816e+18,2.520929550894329e+17,5.659311391146347e+17
37,oregon,-0.2548490521264881,-0.0011614623906218025,33364.21,2081.46,11498.38,11645.27,731.03,2964.79,1.0967886716549136e+19,6.016406859356545e+17,6.343966802638652e+17
38,pennsylvania,1.4777619031553968,-0.003711476314669338,142393.36,5818.81,51023.46,48933.16,2215.23,13166.44,5.0684240938039796e+19,5.246421268565137e+17,7.705985821459464e+17
39,rhode_island,-2.4183233440546132,-0.003153871162842348,10248.2,1095.8,3706.78,3639.51,289.11,1110.77,3.5526796564764723e+18,5.5781918825734296e+16,7.622263220706859e+16
40,south_carolina,0.367594067066932,-0.0010566483831143713,28196.34,1967.07,10883.81,9966.54,645.36,2916.37,1.07497699248055e+19,8.48049331974271e+17,1.7078021312166664e+18
41,south_dakota,-0.20653666255967096,-0.0035914918903153644,3129.54,281.68,1065.53,1252.5,112.11,342.99,1.135140681372696e+18,6.465223248924304e+16,8.424299872054586e+16
42,tennessee,-0.6759154328510846,0.0005717634714939614,34711.32,7695.56,14756.45,12090.09,1519.18,4403.5,5.922386852330462e+18,2.0446228092886095e+18,2.913566484025865e+18
43,texas,2.119562223733624,0.0053521797745509705,179400.83,10623.75,55758.81,63113.76,3360.18,15102.85,5.083689126184613e+19,4.228304013374089e+18,6.235581656215674e+18
