index,purchase_index
2014-09-17,169.3
2014-09-24,168.8
2014-10-01,168.8
2014-10-08,172.9
2014-10-15,171.7
2014-10-22,163.4
2014-10-29,155.2
2014-11-05,159.2
2014-11-12,160.9
2014-11-19,179.8
2014-11-26,171.2
2014-12-03,175.5
2014-12-10,177.7
2014-12-17,165.5
2014-12-24,167.7
2015-01-07,159.2
2015-01-14,196.7
2015-01-21,191.7
2015-01-28,191.6
2015-02-04,187.2
2015-02-11,175.1
2015-02-18,162.7
2015-02-25,170.2
2015-03-04,169.8
2015-03-11,173.0
2015-03-18,170.4
2015-03-25,178.7
2015-04-01,188.9
2015-04-08,201.8
2015-04-15,195.6
2015-04-22,205.4
2015-04-29,205.4
2015-05-06,207.1
2015-05-13,206.7
2015-05-20,199.1
2015-05-27,201.5
2015-06-03,195.4
2015-06-10,214.3
2015-06-17,205.4
2015-06-24,207.8
2015-07-01,199.2
2015-07-08,212.4
2015-07-15,196.4
2015-07-22,198.3
2015-07-29,198.1
2015-08-05,204.6
2015-08-12,197.4
2015-08-19,195.3
2015-08-26,198.7
2015-09-02,206.9
2015-09-09,205.0
2015-09-16,196.3
2015-09-23,214.2
2015-09-30,202.1
2015-10-07,257.4
2015-10-14,169.6
2015-10-21,197.4
2015-10-28,191.2
2015-11-04,190.0
2015-11-11,190.1
2015-11-18,212.8
2015-11-25,211.7
2015-12-02,228.1
2015-12-09,228.2
2015-12-16,221.7
2015-12-23,230.8
2016-01-06,196.2
2016-01-13,231.1
2016-01-20,227.3
2016-01-27,237.8
2016-02-03,221.1
2016-02-10,221.6
2016-02-17,213.3
2016-02-24,217.9
2016-03-02,216.7
2016-03-09,225.7
2016-03-16,226.3
2016-03-23,224.0
2016-03-30,228.6
2016-04-06,223.1
2016-04-13,241.9
2016-04-20,240.8
2016-04-27,235.0
2016-05-04,234.7
2016-05-11,235.6
2016-05-18,222.0
2016-05-25,234.9
2016-06-01,223.8
2016-06-08,249.9
2016-06-15,237.6
2016-06-22,231.9
2016-06-29,224.9
2016-07-06,234.6
2016-07-13,234.7
2016-07-20,229.9
2016-07-27,222.2
2016-08-03,216.9
2016-08-10,222.6
2016-08-17,214.0
2016-08-24,213.4
2016-08-31,216.1
2016-09-07,218.6
2016-09-14,237.3
2016-09-21,221.1
2016-09-28,222.8
2016-10-05,222.5
2016-10-12,216.7
2016-10-19,223.1
2016-10-26,207.8
2016-11-02,207.0
2016-11-09,210.0
2016-11-16,197.0
2016-11-23,234.1
2016-11-30,233.6
2016-12-07,234.5
2016-12-14,226.7
2016-12-21,232.9
2017-01-04,228.0
2017-01-11,241.9
2017-01-18,229.4
2017-01-25,243.2
2017-02-01,229.6
2017-02-08,233.7
2017-02-15,223.1
2017-02-22,216.9
2017-03-01,231.0
2017-03-08,235.0
2017-03-15,240.3
2017-03-22,235.3
2017-03-29,238.1
2017-04-05,239.8
2017-04-12,246.7
2017-04-19,238.3
2017-04-26,236.0
2017-05-03,246.0
2017-05-10,250.3
2017-05-17,243.6
2017-05-24,241.6
2017-05-31,238.1
2017-06-07,261.9
2017-06-14,254.6
2017-06-21,252.1
2017-06-28,241.7
2017-07-06,249.1
2017-07-12,242.8
2017-07-19,245.5
2017-07-26,240.1
2017-08-02,235.4
2017-08-09,237.3
2017-08-16,233.8
2017-08-23,230.4
2017-08-30,224.1
2017-09-06,227.3
2017-09-13,252.0
2017-09-20,224.7
2017-09-27,231.0
2017-10-04,233.4
2017-10-11,233.2
2017-10-18,242.9
2017-10-25,228.0
2017-11-01,226.1
2017-11-08,227.2
2017-11-15,228.2
2017-11-22,240.4
2017-11-29,244.7
2017-12-06,250.6
2017-12-13,247.9
2017-12-20,234.3
2018-01-03,236.9
2018-01-10,242.7
2018-01-17,249.2
2018-01-24,264.4
2018-01-31,255.5
2018-02-07,255.4
2018-02-14,240.4
2018-02-21,225.5
2018-02-28,239.4
2018-03-07,238.3
2018-03-14,246.5
2018-03-21,249.9
2018-03-28,257.6
2018-04-04,252.3
2018-04-11,247.3
2018-04-18,262.4
2018-04-25,262.4
2018-05-02,258.1
2018-05-09,257.7
2018-05-16,252.4
2018-05-23,247.4
2018-05-30,242.7
2018-06-06,252.8
2018-06-13,249.0
2018-06-20,259.6
2018-06-27,244.3
2018-07-04,245.5
2018-07-11,261.5
2018-07-18,247.9
2018-07-25,245.5
2018-08-01,237.9
2018-08-08,233.1
2018-08-15,225.5
2018-08-22,232.1
2018-08-29,230.1
2018-09-05,231.4
2018-09-12,233.5
2018-09-19,234.2
2018-09-26,240.4
2018-10-03,240.7
2018-10-10,238.0
2018-10-17,224.0
2018-10-24,228.4
2018-10-31,224.9
2018-11-07,213.6
2018-11-14,220.8
2018-11-21,227.7
2018-11-28,247.8
2018-12-05,249.9
2018-12-12,256.1
2018-12-19,238.6
2019-01-03,219.0
2019-01-09,255.2
2019-01-16,278.5
2019-01-23,272.5
2019-01-30,266.2
2019-02-06,253.1
2019-02-13,237.7
2019-02-20,232.7
2019-02-27,247.0
2019-03-06,240.5
2019-03-13,250.8
2019-03-20,251.5
2019-03-27,267.5
2019-04-03,276.6
2019-04-10,278.1
2019-04-17,280.7
2019-04-24,269.3
2019-05-01,259.4
2019-05-08,270.2
2019-05-15,268.5
2019-05-22,263.0
2019-05-29,259.4
