month,alabama,alaska,arizona,arkansas,california,colorado,connecticut,delaware,district of columbia,florida,georgia,hawaii,idaho,illinois,indiana,iowa,kansas,kentucky,louisiana,maine,maryland,massachusetts,michigan,minnesota,mississippi,missouri,montana,nebraska,nevada,new hampshire,new jersey,new mexico,new york,north carolina,north dakota,ohio,oklahoma,oregon,pennsylvania,rhode island,south carolina,south dakota,tennessee,texas,utah,vermont,virginia,washington,west virginia,wisconsin,wyoming,puerto rico
2012-05-01,8.4,7.3,8.5,7.3,10.8,8.2,8.4,7.1,9.1,8.9,9.2,6.2,7.5,9.0,8.2,5.1,5.8,8.2,6.9,7.3,6.9,6.7,9.1,5.7,8.9,7.2,5.9,3.9,11.9,5.4,9.5,7.0,8.8,9.5,2.9,7.4,5.1,8.9,7.7,10.4,9.3,4.1,8.0,6.8,4.9,4.9,6.1,8.0,7.3,7.0,5.6,14.5
2012-06-01,8.3,7.3,8.4,7.3,10.7,8.2,8.4,7.1,9.0,8.8,9.1,6.1,7.5,9.1,8.2,5.1,5.7,8.2,6.8,7.3,6.9,6.7,9.1,5.7,8.9,7.2,5.9,3.9,11.8,5.5,9.5,6.9,8.8,9.5,2.9,7.3,5.1,8.9,7.7,10.4,9.2,4.1,8.0,6.8,4.8,4.9,6.0,8.0,7.4,7.0,5.6,14.2
2012-07-01,8.2,7.2,8.3,7.3,10.5,8.1,8.4,7.1,8.8,8.6,9.0,5.9,7.4,9.0,8.2,5.1,5.7,8.2,6.7,7.2,6.9,6.7,9.0,5.7,8.8,7.1,5.9,3.9,11.6,5.6,9.5,6.9,8.7,9.5,2.9,7.3,5.1,8.8,7.8,10.3,9.0,4.1,8.0,6.7,4.8,4.9,5.9,7.8,7.4,7.0,5.5,14.1
2012-08-01,8.1,7.2,8.2,7.2,10.3,7.9,8.4,7.1,8.7,8.5,8.9,5.7,7.3,9.0,8.2,5.0,5.6,8.2,6.6,7.2,6.9,6.7,9.0,5.7,8.8,7.0,5.8,3.8,11.4,5.6,9.4,6.9,8.6,9.5,2.9,7.2,5.1,8.7,7.8,10.1,8.8,4.1,7.9,6.6,4.7,4.8,5.9,7.6,7.4,6.9,5.5,14.0
2012-09-01,7.9,7.1,8.1,7.2,10.2,7.8,8.4,7.1,8.6,8.4,8.8,5.5,7.2,9.0,8.2,5.0,5.6,8.1,6.5,7.2,6.8,6.7,9.0,5.6,8.7,7.0,5.7,3.8,11.2,5.6,9.4,6.9,8.6,9.5,2.9,7.2,5.1,8.7,7.7,10.0,8.7,4.0,7.8,6.5,4.7,4.8,5.8,7.4,7.4,6.9,5.4,14.0
2012-10-01,7.8,7.1,8.1,7.2,10.0,7.6,8.3,7.1,8.6,8.3,8.7,5.3,7.2,9.0,8.2,5.0,5.6,8.1,6.4,7.1,6.8,6.7,9.0,5.6,8.7,7.0,5.6,3.8,11.1,5.6,9.3,6.9,8.5,9.5,3.0,7.2,5.1,8.6,7.7,9.8,8.6,4.0,7.8,6.5,4.6,4.7,5.7,7.2,7.3,6.8,5.3,14.2
2012-11-01,7.8,7.1,8.1,7.2,9.9,7.5,8.3,7.1,8.6,8.2,8.7,5.2,7.1,9.0,8.2,4.9,5.6,8.1,6.5,7.1,6.8,6.7,9.0,5.5,8.6,7.0,5.6,3.8,10.9,5.6,9.3,7.0,8.4,9.5,3.0,7.3,5.1,8.6,7.7,9.7,8.5,3.9,7.8,6.5,4.6,4.7,5.7,7.1,7.3,6.8,5.2,14.3
2012-12-01,7.7,7.1,8.1,7.2,9.8,7.4,8.3,7.1,8.7,8.1,8.6,5.1,7.1,9.1,8.2,4.9,5.6,8.0,6.6,7.1,6.8,6.7,9.0,5.4,8.6,7.0,5.5,3.8,10.8,5.6,9.2,7.0,8.4,9.4,3.0,7.4,5.1,8.5,7.7,9.6,8.4,3.9,7.9,6.5,4.6,4.6,5.7,6.9,7.2,6.9,5.2,14.3
2013-01-01,7.6,7.1,8.1,7.2,9.7,7.3,8.3,7.1,8.7,8.0,8.6,5.0,7.0,9.2,8.2,4.9,5.6,8.0,6.7,7.1,6.8,6.7,9.0,5.4,8.7,6.9,5.5,3.8,10.7,5.6,9.1,7.0,8.3,9.4,3.0,7.5,5.2,8.4,7.6,9.6,8.4,3.9,8.0,6.5,4.5,4.6,5.6,6.9,7.1,6.9,5.1,14.2
2013-02-01,7.6,7.0,8.1,7.2,9.5,7.2,8.3,7.0,8.7,8.0,8.6,4.9,7.0,9.3,8.2,4.9,5.5,8.0,6.8,7.0,6.8,6.8,9.0,5.3,8.7,6.9,5.5,3.8,10.6,5.5,9.0,7.0,8.2,9.1,3.0,7.6,5.2,8.3,7.5,9.5,8.3,3.8,8.0,6.6,4.4,4.6,5.6,6.7,6.9,6.9,5.0,14.1
2013-03-01,7.5,7.0,8.0,7.2,9.4,7.1,8.2,7.0,8.7,7.9,8.5,4.9,7.0,9.3,8.1,4.9,5.5,8.0,6.8,7.0,6.7,6.8,8.9,5.2,8.7,6.9,5.5,3.8,10.5,5.5,8.9,6.9,8.1,8.8,3.0,7.6,5.2,8.2,7.4,9.5,8.1,3.8,8.0,6.5,4.4,4.6,5.6,6.7,6.8,6.9,4.9,13.8
2013-04-01,7.4,7.0,8.0,7.2,9.3,7.0,8.2,6.9,8.6,7.8,8.4,4.8,7.0,9.3,8.0,4.9,5.4,8.0,6.7,6.9,6.7,6.8,8.9,5.2,8.7,6.9,5.5,3.8,10.4,5.4,8.8,6.9,8.0,8.5,2.9,7.6,5.2,8.0,7.3,9.5,7.9,3.8,8.0,6.5,4.3,4.5,5.6,6.7,6.7,6.9,4.8,13.7
