release_date,time,index
22-Jun-22,07:00,242.8
15-Jun-22,07:00,225
8-Jun-22,07:00,208.2
1-Jun-22,07:00,224.1
25-May-22,07:00,225.5
18-May-22,07:00,225
11-May-22,07:00,255.4
4-May-22,07:00,244.4
27-Apr-22,07:00,234.7
20-Apr-22,07:00,254
13-Apr-22,07:00,261.8
6-Apr-22,07:00,258.1
30-Mar-22,07:00,267.1
23-Mar-22,07:00,265.4
16-Mar-22,07:00,269.5
9-Mar-22,08:00,267.6
2-Mar-22,08:00,246.3
23-Feb-22,08:00,250.7
16-Feb-22,08:00,279
9-Feb-22,08:00,282.3
2-Feb-22,08:00,312.2
26-Jan-22,08:00,300.1
19-Jan-22,08:00,305.7
12-Jan-22,08:00,283.4
5-Jan-22,08:00,277.3
22-Dec-21,08:00,287.5
15-Dec-21,08:00,297.2
8-Dec-21,08:00,295.2
1-Dec-21,08:00,310.7
24-Nov-21,08:00,295.7
17-Nov-21,08:00,282.5
10-Nov-21,08:00,278.4
3-Nov-21,07:00,271.1
27-Oct-21,07:00,275.6
20-Oct-21,07:00,266.2
13-Oct-21,07:00,279.8
6-Oct-21,07:00,275.7
29-Sep-21,07:00,280.4
22-Sep-21,07:00,283.9
15-Sep-21,07:00,277.9
8-Sep-21,07:00,258.4
1-Sep-21,07:00,259
25-Aug-21,07:00,257.5
18-Aug-21,07:00,249.9
11-Aug-21,07:00,252
4-Aug-21,07:00,247.5
28-Jul-21,07:00,251.7
21-Jul-21,07:00,255.8
14-Jul-21,07:00,273.3
7-Jul-21,07:00,252.4
30-Jun-21,07:00,255.2
23-Jun-21,07:00,268
16-Jun-21,07:00,266.3
9-Jun-21,07:00,262.1
2-Jun-21,07:00,261.4
26-May-21,07:00,269.8
19-May-21,07:00,265.3
12-May-21,07:00,276.7
5-May-21,07:00,274.5
28-Apr-21,07:00,281.4
21-Apr-21,07:00,295.5
14-Apr-21,07:00,279.5
7-Apr-21,07:00,283.6
31-Mar-21,07:00,297.3
24-Mar-21,07:00,301.9
17-Mar-21,07:00,294.3
10-Mar-21,08:00,289
3-Mar-21,08:00,269.7
24-Feb-21,08:00,264.9
17-Feb-21,08:00,299.5
10-Feb-21,08:00,318.8
3-Feb-21,08:00,334.6
27-Jan-21,08:00,334.2
20-Jan-21,08:00,348.2
13-Jan-21,08:00,338.9
6-Jan-21,08:30,313.8
23-Dec-20,08:00,316.3
16-Dec-20,08:00,331.6
9-Dec-20,08:00,325.7
2-Dec-20,08:00,342.9
25-Nov-20,08:00,314.6
18-Nov-20,08:00,303.9
11-Nov-20,08:00,293.5
4-Nov-20,08:00,301.2
28-Oct-20,07:00,305.2
21-Oct-20,07:00,304.6
14-Oct-20,07:00,311.1
7-Oct-20,07:00,316
30-Sep-20,07:00,320.9
23-Sep-20,07:00,327
16-Sep-20,07:00,316.2
9-Sep-20,07:00,317.7
2-Sep-20,07:00,309.6
26-Aug-20,07:00,310.2
19-Aug-20,07:00,308.9
12-Aug-20,07:00,306.6
5-Aug-20,07:00,300.7
29-Jul-20,07:00,306.1
22-Jul-20,07:00,310.9
15-Jul-20,07:00,305.4
8-Jul-20,07:00,325.2
1-Jul-20,07:00,308.7
24-Jun-20,07:00,312.7
17-Jun-20,07:00,322.5
10-Jun-20,07:00,311.7
3-Jun-20,07:00,296
27-May-20,07:00,281.2
20-May-20,07:00,258.9
13-May-20,07:00,243.3
6-May-20,07:00,220
29-Apr-20,07:00,208
22-Apr-20,07:00,186.4
15-Apr-20,07:00,182.6
8-Apr-20,07:00,185.9
1-Apr-20,07:00,211.7
25-Mar-20,07:00,237.4
18-Mar-20,07:00,278.1
11-Mar-20,07:00,280.7
4-Mar-20,08:00,265.8
26-Feb-20,08:00,273.1
19-Feb-20,08:00,258.4
12-Feb-20,08:00,267.4
5-Feb-20,08:00,283.8
29-Jan-20,08:00,313.7
22-Jan-20,08:00,297.8
15-Jan-20,08:00,303.9
8-Jan-20,08:01,263.2
26-Dec-19,08:00,250.1
18-Dec-19,08:00,262.6
11-Dec-19,08:00,268.3
4-Dec-19,08:00,269.4
27-Nov-19,08:00,267.1
20-Nov-19,08:00,270.4
13-Nov-19,08:00,253.4
6-Nov-19,08:00,241
30-Oct-19,07:00,247.2
23-Oct-19,07:00,241.7
16-Oct-19,07:00,250.6
9-Oct-19,07:00,252.2
2-Oct-19,07:00,263.8
25-Sep-19,07:00,261.4
18-Sep-19,07:00,269.7
11-Sep-19,07:00,253.5
4-Sep-19,07:00,242.6
28-Aug-19,07:00,234.1
21-Aug-19,07:00,243.8
14-Aug-19,07:00,252.6
7-Aug-19,07:00,247.9
31-Jul-19,07:00,253
24-Jul-19,07:00,260.8
17-Jul-19,07:00,265.1
10-Jul-19,07:00,275.6
3-Jul-19,07:00,269.3
26-Jun-19,07:00,266.3
19-Jun-19,07:00,268.6
12-Jun-19,07:00,278.4
5-Jun-19,07:00,253.1
29-May-19,07:00,259.4
22-May-19,07:00,263
15-May-19,07:00,268.5
8-May-19,07:00,270.2
1-May-19,07:00,259.4
24-Apr-19,07:00,269.3
17-Apr-19,07:00,280.7
10-Apr-19,07:00,278.1
3-Apr-19,07:00,276.6
27-Mar-19,07:00,267.5
20-Mar-19,07:00,251.5
13-Mar-19,07:00,250.8
6-Mar-19,08:00,240.5
27-Feb-19,08:00,247
20-Feb-19,08:00,232.7
13-Feb-19,08:00,237.7
6-Feb-19,08:00,253.1
30-Jan-19,08:00,266.2
23-Jan-19,08:00,272.5
16-Jan-19,08:00,278.5
9-Jan-19,08:00,255.2
3-Jan-19,08:00,219
19-Dec-18,08:00,238.6
12-Dec-18,08:00,256.1
5-Dec-18,08:00,249.9
28-Nov-18,08:00,247.8
21-Nov-18,08:00,227.7
14-Nov-18,08:00,220.8
7-Nov-18,08:00,213.6
31-Oct-18,07:00,224.9
24-Oct-18,07:00,228.4
17-Oct-18,07:00,224
10-Oct-18,07:00,238
3-Oct-18,07:00,240.7
26-Sep-18,07:00,240.4
19-Sep-18,07:00,234.2
12-Sep-18,07:00,233.5
5-Sep-18,07:00,231.4
29-Aug-18,07:00,230.1
22-Aug-18,07:00,232.1
15-Aug-18,07:00,225.5
8-Aug-18,07:00,233.1
1-Aug-18,07:00,237.9
25-Jul-18,07:00,245.5
18-Jul-18,07:00,247.9
11-Jul-18,07:00,261.5
4-Jul-18,07:00,245.5
27-Jun-18,07:00,244.3
20-Jun-18,07:00,259.6
13-Jun-18,07:00,249
6-Jun-18,07:00,252.8
30-May-18,07:00,242.7
23-May-18,07:00,247.4
16-May-18,07:00,252.4
9-May-18,07:00,257.7
2-May-18,07:00,258.1
25-Apr-18,07:00,262.4
18-Apr-18,07:00,262.4
11-Apr-18,07:00,247.3
4-Apr-18,07:00,252.3
28-Mar-18,07:00,257.6
21-Mar-18,07:00,249.9
14-Mar-18,07:00,246.5
7-Mar-18,08:00,238.3
28-Feb-18,08:00,239.4
21-Feb-18,08:00,225.5
14-Feb-18,08:00,240.4
7-Feb-18,08:00,255.4
31-Jan-18,08:00,255.5
24-Jan-18,08:00,264.4
17-Jan-18,08:00,249.2
10-Jan-18,08:00,242.7
3-Jan-18,08:00,236.9
20-Dec-17,08:00,234.3
13-Dec-17,08:00,247.9
6-Dec-17,08:00,250.6
29-Nov-17,08:00,244.7
22-Nov-17,08:00,240.4
15-Nov-17,08:00,228.2
8-Nov-17,08:00,227.2
1-Nov-17,07:00,226.1
25-Oct-17,07:00,228
18-Oct-17,07:00,242.9
11-Oct-17,07:00,233.2
4-Oct-17,07:00,233.4
27-Sep-17,07:00,231
20-Sep-17,07:00,224.7
13-Sep-17,07:00,252
6-Sep-17,07:00,227.3
30-Aug-17,07:00,224.1
23-Aug-17,07:00,230.4
16-Aug-17,07:00,233.8
9-Aug-17,07:00,237.3
2-Aug-17,07:00,235.4
26-Jul-17,07:00,240.1
19-Jul-17,07:00,245.5
12-Jul-17,07:00,242.8
6-Jul-17,07:00,249.1
28-Jun-17,07:00,241.7
21-Jun-17,07:00,252.1
14-Jun-17,07:00,254.6
7-Jun-17,07:00,261.9
31-May-17,07:00,238.1
24-May-17,07:00,241.6
17-May-17,07:00,243.6
10-May-17,07:00,250.3
3-May-17,07:00,246
26-Apr-17,07:00,236
19-Apr-17,07:00,238.3
12-Apr-17,07:00,246.7
5-Apr-17,07:00,239.8
29-Mar-17,07:00,238.1
22-Mar-17,07:00,235.3
15-Mar-17,07:00,240.3
8-Mar-17,08:00,235
1-Mar-17,08:00,231
22-Feb-17,08:00,216.9
15-Feb-17,08:00,223.1
8-Feb-17,08:00,233.7
1-Feb-17,08:00,229.6
25-Jan-17,08:00,243.2
18-Jan-17,08:00,229.4
11-Jan-17,08:00,241.9
4-Jan-17,08:00,228
21-Dec-16,08:00,232.9
14-Dec-16,08:00,226.7
7-Dec-16,08:00,234.5
30-Nov-16,08:00,233.6
23-Nov-16,08:00,234.1
16-Nov-16,08:00,197
9-Nov-16,08:00,210
2-Nov-16,07:00,207
26-Oct-16,07:00,207.8
19-Oct-16,07:00,223.1
12-Oct-16,07:00,216.7
5-Oct-16,07:00,222.5
28-Sep-16,07:00,222.8
21-Sep-16,07:00,221.1
14-Sep-16,07:00,237.3
7-Sep-16,07:00,218.6
31-Aug-16,07:00,216.1
24-Aug-16,07:00,213.4
17-Aug-16,07:00,214
10-Aug-16,07:00,222.6
3-Aug-16,07:00,216.9
27-Jul-16,07:00,222.2
20-Jul-16,07:00,229.9
13-Jul-16,07:00,234.7
6-Jul-16,07:00,234.6
29-Jun-16,07:00,224.9
22-Jun-16,07:00,231.9
15-Jun-16,07:00,237.6
8-Jun-16,07:00,249.9
1-Jun-16,07:00,223.8
25-May-16,07:00,234.9
18-May-16,07:00,222
11-May-16,07:00,235.6
4-May-16,07:00,234.7
27-Apr-16,07:00,235
20-Apr-16,07:00,240.8
13-Apr-16,07:00,241.9
6-Apr-16,07:00,223.1
30-Mar-16,07:00,228.6
23-Mar-16,07:00,224
16-Mar-16,07:00,226.3
9-Mar-16,08:00,225.7
2-Mar-16,08:00,216.7
24-Feb-16,08:00,217.9
17-Feb-16,08:00,213.3
10-Feb-16,08:00,221.6
3-Feb-16,08:00,221.1
27-Jan-16,08:00,237.8
20-Jan-16,08:00,227.3
13-Jan-16,08:00,231.1
6-Jan-16,08:00,196.2
23-Dec-15,08:00,230.8
16-Dec-15,08:00,221.7
9-Dec-15,08:00,228.2
2-Dec-15,08:00,228.1
25-Nov-15,08:00,211.7
18-Nov-15,08:00,212.8
11-Nov-15,08:00,190.1
4-Nov-15,08:00,190
28-Oct-15,07:00,191.2
21-Oct-15,07:00,197.4
14-Oct-15,07:00,169.6
7-Oct-15,07:00,257.4
30-Sep-15,07:00,202.1
23-Sep-15,07:00,214.2
16-Sep-15,07:00,196.3
9-Sep-15,07:00,205
2-Sep-15,07:00,206.9
26-Aug-15,07:00,198.7
19-Aug-15,07:00,195.3
12-Aug-15,07:00,197.4
5-Aug-15,07:00,204.6
29-Jul-15,07:00,198.1
22-Jul-15,07:00,198.3
15-Jul-15,07:00,196.4
8-Jul-15,07:00,212.4
1-Jul-15,07:00,199.2
24-Jun-15,07:00,207.8
17-Jun-15,07:00,205.4
10-Jun-15,07:00,214.3
3-Jun-15,07:00,195.4
27-May-15,07:00,201.5
20-May-15,07:00,199.1
13-May-15,07:00,206.7
6-May-15,07:00,207.1
29-Apr-15,07:00,205.4
22-Apr-15,07:00,205.4
15-Apr-15,07:00,195.6
8-Apr-15,07:00,201.8
1-Apr-15,07:00,188.9
25-Mar-15,07:00,178.7
18-Mar-15,07:00,170.4
11-Mar-15,07:00,173
4-Mar-15,08:00,169.8
25-Feb-15,08:00,170.2
18-Feb-15,08:00,162.7
11-Feb-15,08:00,175.1
4-Feb-15,08:00,187.2
28-Jan-15,08:00,191.6
21-Jan-15,08:00,191.7
14-Jan-15,08:00,196.7
7-Jan-15,08:00,159.2
24-Dec-14,08:00,167.7
17-Dec-14,08:00,165.5
10-Dec-14,08:00,177.7
3-Dec-14,08:00,175.5
26-Nov-14,08:00,171.2
19-Nov-14,08:00,179.8
12-Nov-14,08:00,160.9
5-Nov-14,08:00,159.2
29-Oct-14,07:00,155.2
22-Oct-14,07:00,163.4
15-Oct-14,07:00,171.7
8-Oct-14,07:00,172.9
1-Oct-14,07:00,168.8
24-Sep-14,07:00,168.8
17-Sep-14,07:00,169.3
1-Aug-14,05:00,170.3
1-Jul-14,05:00,179.53
1-Jun-14,05:00,179.29
1-May-14,05:00,178.67
1-Apr-14,05:00,172.3
1-Mar-14,05:00,164.2
1-Feb-14,05:00,184.29
1-Jan-14,05:00,175.2
1-Dec-13,05:00,187.75
1-Nov-13,05:00,182.79
1-Oct-13,05:00,190.31
1-Sep-13,05:00,187.01
1-Aug-13,05:00,197.93
1-Jul-13,05:00,212.6
1-Jun-13,05:00,210.25
1-May-13,05:00,215.85
1-Apr-13,05:00,205.84
1-Mar-13,05:00,195.14
1-Feb-13,05:00,208
1-Jan-13,05:00,190.96
1-Dec-12,05:00,200.04
1-Nov-12,05:00,190.29
1-Oct-12,05:00,189.98
1-Sep-12,05:00,178.15
1-Aug-12,05:00,187.5
