State Weekly Claims for Unemplyment Insurance Data Not Seasonally Adjusted,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
State,Filed week ended,Initial Claims,Reflecting Week Ended,Continued Claims,Covered Employment,Insured Unemployment Rate,,,
Alabama,1/1/2000,"10,099",12/25/1999,"33,472","1,806,088",1.85,,,
Alabama,1/8/2000,"17,354",1/1/2000,"45,515","1,808,070",2.52,,,
Alabama,1/15/2000,"16,782",1/8/2000,"43,927","1,808,070",2.43,,,
Alabama,1/22/2000,"10,138",1/15/2000,"33,992","1,808,070",1.88,,,
Alabama,1/29/2000,"4,761",1/22/2000,"30,091","1,808,070",1.66,,,
Alabama,2/5/2000,"5,868",1/29/2000,"30,431","1,808,070",1.68,,,
Alabama,2/12/2000,"5,768",2/5/2000,"30,946","1,808,070",1.71,,,
Alabama,2/19/2000,"4,598",2/12/2000,"29,322","1,808,070",1.62,,,
Alabama,2/26/2000,"4,441",2/19/2000,"28,056","1,808,070",1.55,,,
Alabama,3/4/2000,"4,197",2/26/2000,"27,945","1,808,070",1.55,,,
Alabama,3/11/2000,"3,585",3/4/2000,"26,745","1,808,070",1.48,,,
Alabama,3/18/2000,"3,788",3/11/2000,"25,806","1,808,070",1.43,,,
Alabama,3/25/2000,"3,810",3/18/2000,"25,328","1,808,070",1.4,,,
Alabama,4/1/2000,"3,652",3/25/2000,"24,492","1,808,070",1.35,,,
Alabama,4/8/2000,"6,473",4/1/2000,"26,251","1,813,319",1.45,,,
Alabama,4/15/2000,"3,927",4/8/2000,"24,910","1,813,319",1.37,,,
Alabama,4/22/2000,"4,054",4/15/2000,"24,453","1,813,319",1.35,,,
Alabama,4/29/2000,"3,384",4/22/2000,"23,698","1,813,319",1.31,,,
Alabama,5/6/2000,"4,550",4/29/2000,"24,126","1,813,319",1.33,,,
Alabama,5/13/2000,"3,654",5/6/2000,"23,721","1,813,319",1.31,,,
Alabama,5/20/2000,"4,251",5/13/2000,"23,826","1,813,319",1.31,,,
Alabama,5/27/2000,"4,895",5/20/2000,"24,631","1,813,319",1.36,,,
Alabama,6/3/2000,"4,838",5/27/2000,"25,244","1,813,319",1.39,,,
Alabama,6/10/2000,"3,989",6/3/2000,"26,259","1,813,319",1.45,,,
Alabama,6/17/2000,"4,469",6/10/2000,"26,997","1,813,319",1.49,,,
Alabama,6/24/2000,"4,477",6/17/2000,"27,240","1,813,319",1.5,,,
Alabama,7/1/2000,"3,866",6/24/2000,"26,988","1,813,319",1.49,,,
Alabama,7/8/2000,"4,702",7/1/2000,"26,485","1,818,839",1.46,,,
Alabama,7/15/2000,"12,321",7/8/2000,"36,009","1,818,839",1.98,,,
Alabama,7/22/2000,"8,843",7/15/2000,"32,554","1,818,839",1.79,,,
Alabama,7/29/2000,"6,841",7/22/2000,"30,616","1,818,839",1.68,,,
Alabama,8/5/2000,"6,072",7/29/2000,"29,425","1,818,839",1.62,,,
Alabama,8/12/2000,"4,775",8/5/2000,"28,514","1,818,839",1.57,,,
Alabama,8/19/2000,"4,889",8/12/2000,"28,334","1,818,839",1.56,,,
Alabama,8/26/2000,"4,979",8/19/2000,"28,243","1,818,839",1.55,,,
Alabama,9/2/2000,"4,590",8/26/2000,"28,077","1,818,839",1.54,,,
Alabama,9/9/2000,"4,976",9/2/2000,"27,893","1,818,839",1.53,,,
Alabama,9/16/2000,"5,119",9/9/2000,"28,345","1,818,839",1.56,,,
Alabama,9/23/2000,"4,294",9/16/2000,"26,854","1,818,839",1.48,,,
Alabama,9/30/2000,"4,683",9/23/2000,"27,055","1,818,839",1.49,,,
Alabama,10/7/2000,"6,052",9/30/2000,"28,187","1,818,839",1.55,,,
Alabama,10/14/2000,"5,363",10/7/2000,"28,318","1,820,517",1.56,,,
Alabama,10/21/2000,"5,654",10/14/2000,"28,912","1,820,517",1.59,,,
Alabama,10/28/2000,"5,205",10/21/2000,"28,336","1,820,517",1.56,,,
Alabama,11/4/2000,"5,926",10/28/2000,"28,779","1,820,517",1.58,,,
Alabama,11/11/2000,"4,823",11/4/2000,"28,398","1,820,517",1.56,,,
Alabama,11/18/2000,"8,487",11/11/2000,"31,991","1,820,517",1.76,,,
Alabama,11/25/2000,"4,284",11/18/2000,"27,372","1,820,517",1.5,,,
Alabama,12/2/2000,"8,903",11/25/2000,"33,865","1,820,517",1.86,,,
Alabama,12/9/2000,"7,418",12/2/2000,"33,569","1,820,517",1.84,,,
Alabama,12/16/2000,"5,477",12/9/2000,"31,739","1,820,517",1.74,,,
Alabama,12/23/2000,"6,788",12/16/2000,"32,866","1,820,517",1.81,,,
Alabama,12/30/2000,"9,483",12/23/2000,"38,562","1,820,517",2.12,,,
Alabama,1/6/2001,"13,752",12/30/2000,"47,437","1,820,517",2.61,,,
Alabama,1/13/2001,"17,570",1/6/2001,"54,383","1,823,189",2.98,,,
Alabama,1/20/2001,"15,076",1/13/2001,"44,767","1,823,189",2.46,,,
Alabama,1/27/2001,"8,331",1/20/2001,"41,430","1,823,189",2.27,,,
Alabama,2/3/2001,"8,056",1/27/2001,"39,862","1,823,189",2.19,,,
Alabama,2/10/2001,"6,895",2/3/2001,"38,765","1,823,189",2.13,,,
Alabama,2/17/2001,"5,217",2/10/2001,"37,163","1,823,189",2.04,,,
Alabama,2/24/2001,"7,079",2/17/2001,"37,774","1,823,189",2.07,,,
Alabama,3/3/2001,"5,787",2/24/2001,"36,017","1,823,189",1.98,,,
Alabama,3/10/2001,"7,928",3/3/2001,"37,538","1,823,189",2.06,,,
Alabama,3/17/2001,"5,426",3/10/2001,"35,046","1,823,189",1.92,,,
Alabama,3/24/2001,"4,626",3/17/2001,"34,123","1,823,189",1.87,,,
Alabama,3/31/2001,"5,367",3/24/2001,"34,199","1,823,189",1.88,,,
Alabama,4/7/2001,"10,372",3/31/2001,"38,799","1,823,189",2.13,,,
Alabama,4/14/2001,"5,378",4/7/2001,"34,239","1,824,502",1.88,,,
Alabama,4/21/2001,"4,613",4/14/2001,"33,371","1,824,502",1.83,,,
Alabama,4/28/2001,"7,207",4/21/2001,"35,490","1,824,502",1.95,,,
Alabama,5/5/2001,"6,024",4/28/2001,"34,358","1,824,502",1.88,,,
Alabama,5/12/2001,"5,626",5/5/2001,"34,248","1,824,502",1.88,,,
Alabama,5/19/2001,"5,096",5/12/2001,"34,065","1,824,502",1.87,,,
Alabama,5/26/2001,"5,703",5/19/2001,"35,074","1,824,502",1.92,,,
Alabama,6/2/2001,"6,851",5/26/2001,"36,551","1,824,502",2,,,
Alabama,6/9/2001,"7,438",6/2/2001,"36,926","1,824,502",2.02,,,
Alabama,6/16/2001,"7,925",6/9/2001,"38,955","1,824,502",2.14,,,
Alabama,6/23/2001,"6,391",6/16/2001,"37,984","1,824,502",2.08,,,
Alabama,6/30/2001,"5,503",6/23/2001,"36,800","1,824,502",2.02,,,
Alabama,7/7/2001,"5,141",6/30/2001,"35,287","1,824,502",1.93,,,
Alabama,7/14/2001,"16,652",7/7/2001,"48,644","1,825,062",2.67,,,
Alabama,7/21/2001,"9,058",7/14/2001,"42,876","1,825,062",2.35,,,
Alabama,7/28/2001,"7,107",7/21/2001,"39,343","1,825,062",2.16,,,
Alabama,8/4/2001,"5,751",7/28/2001,"37,755","1,825,062",2.07,,,
Alabama,8/11/2001,"4,698",8/4/2001,"36,038","1,825,062",1.97,,,
Alabama,8/18/2001,"5,679",8/11/2001,"36,935","1,825,062",2.02,,,
Alabama,8/25/2001,"5,522",8/18/2001,"36,725","1,825,062",2.01,,,
Alabama,9/1/2001,"4,320",8/25/2001,"34,772","1,825,062",1.91,,,
Alabama,9/8/2001,"4,944",9/1/2001,"33,704","1,825,062",1.85,,,
Alabama,9/15/2001,"7,328",9/8/2001,"36,161","1,825,062",1.98,,,
Alabama,9/22/2001,"5,766",9/15/2001,"35,417","1,825,062",1.94,,,
Alabama,9/29/2001,"5,257",9/22/2001,"34,104","1,825,062",1.87,,,
Alabama,10/6/2001,"6,729",9/29/2001,"35,935","1,825,062",1.97,,,
Alabama,10/13/2001,"7,139",10/6/2001,"36,205","1,822,326",1.99,,,
Alabama,10/20/2001,"5,800",10/13/2001,"36,728","1,822,326",2.02,,,
Alabama,10/27/2001,"6,529",10/20/2001,"37,457","1,822,326",2.06,,,
Alabama,11/3/2001,"8,538",10/27/2001,"39,151","1,822,326",2.15,,,
Alabama,11/10/2001,"6,021",11/3/2001,"38,439","1,822,326",2.11,,,
Alabama,11/17/2001,"8,235",11/10/2001,"39,701","1,822,326",2.18,,,
Alabama,11/24/2001,"4,181",11/17/2001,"37,107","1,822,326",2.04,,,
Alabama,12/1/2001,"11,597",11/24/2001,"46,464","1,822,326",2.55,,,
Alabama,12/8/2001,"8,136",12/1/2001,"43,123","1,822,326",2.37,,,
Alabama,12/15/2001,"6,493",12/8/2001,"42,112","1,822,326",2.31,,,
Alabama,12/22/2001,"6,700",12/15/2001,"42,817","1,822,326",2.35,,,
Alabama,12/29/2001,"5,580",12/22/2001,"44,551","1,822,326",2.44,,,
Alabama,1/5/2002,"15,926",12/29/2001,"53,210","1,822,326",2.92,,,
Alabama,1/12/2002,"20,309",1/5/2002,"62,404","1,819,587",3.43,,,
Alabama,1/19/2002,"10,934",1/12/2002,"52,085","1,819,587",2.86,,,
Alabama,1/26/2002,"8,114",1/19/2002,"47,687","1,819,587",2.62,,,
Alabama,2/2/2002,"6,746",1/26/2002,"46,964","1,819,587",2.58,,,
Alabama,2/9/2002,"6,341",2/2/2002,"45,441","1,819,587",2.5,,,
Alabama,2/16/2002,"5,196",2/9/2002,"44,793","1,819,587",2.46,,,
Alabama,2/23/2002,"5,125",2/16/2002,"44,009","1,819,587",2.42,,,
Alabama,3/2/2002,"4,602",2/23/2002,"42,381","1,819,587",2.33,,,
Alabama,3/9/2002,"5,916",3/2/2002,"43,092","1,819,587",2.37,,,
Alabama,3/16/2002,"4,779",3/9/2002,"41,220","1,819,587",2.27,,,
Alabama,3/23/2002,"5,220",3/16/2002,"41,207","1,819,587",2.26,,,
Alabama,3/30/2002,"5,436",3/23/2002,"40,956","1,819,587",2.25,,,
Alabama,4/6/2002,"7,824",3/30/2002,"41,844","1,819,587",2.3,,,
Alabama,4/13/2002,"7,375",4/6/2002,"39,057","1,812,271",2.16,,,
Alabama,4/20/2002,"5,461",4/13/2002,"40,042","1,812,271",2.21,,,
Alabama,4/27/2002,"5,631",4/20/2002,"40,048","1,812,271",2.21,,,
Alabama,5/4/2002,"5,450",4/27/2002,"39,641","1,812,271",2.19,,,
Alabama,5/11/2002,"4,902",5/4/2002,"39,424","1,812,271",2.18,,,
Alabama,5/18/2002,"5,670",5/11/2002,"39,529","1,812,271",2.18,,,
Alabama,5/25/2002,"4,123",5/18/2002,"39,476","1,812,271",2.18,,,
Alabama,6/1/2002,"4,529",5/25/2002,"39,608","1,812,271",2.19,,,
Alabama,6/8/2002,"6,079",6/1/2002,"41,370","1,812,271",2.28,,,
Alabama,6/15/2002,"5,622",6/8/2002,"42,042","1,812,271",2.32,,,
Alabama,6/22/2002,"4,528",6/15/2002,"41,309","1,812,271",2.28,,,
Alabama,6/29/2002,"4,084",6/22/2002,"40,765","1,812,271",2.25,,,
Alabama,7/6/2002,"3,687",6/29/2002,"38,180","1,812,271",2.11,,,
Alabama,7/13/2002,"10,571",7/6/2002,"45,686","1,803,850",2.53,,,
Alabama,7/20/2002,"10,153",7/13/2002,"46,141","1,803,850",2.56,,,
Alabama,7/27/2002,"5,641",7/20/2002,"41,246","1,803,850",2.29,,,
Alabama,8/3/2002,"4,141",7/27/2002,"40,955","1,803,850",2.27,,,
Alabama,8/10/2002,"3,210",8/3/2002,"39,413","1,803,850",2.18,,,
Alabama,8/17/2002,"3,281",8/10/2002,"39,168","1,803,850",2.17,,,
Alabama,8/24/2002,"4,231",8/17/2002,"37,607","1,803,850",2.08,,,
Alabama,8/31/2002,"3,464",8/24/2002,"36,753","1,803,850",2.04,,,
Alabama,9/7/2002,"4,794",8/31/2002,"36,716","1,803,850",2.04,,,
Alabama,9/14/2002,"4,739",9/7/2002,"37,693","1,803,850",2.09,,,
Alabama,9/21/2002,"4,378",9/14/2002,"36,354","1,803,850",2.02,,,
Alabama,9/28/2002,"4,574",9/21/2002,"35,824","1,803,850",1.99,,,
Alabama,10/5/2002,"5,475",9/28/2002,"36,044","1,803,850",2,,,
Alabama,10/12/2002,"5,807",10/5/2002,"36,254","1,795,445",2.02,,,
Alabama,10/19/2002,"5,876",10/12/2002,"35,782","1,795,445",1.99,,,
Alabama,10/26/2002,"5,872",10/19/2002,"36,514","1,795,445",2.03,,,
Alabama,11/2/2002,"5,571",10/26/2002,"36,061","1,795,445",2.01,,,
Alabama,11/9/2002,"5,285",11/2/2002,"36,015","1,795,445",2.01,,,
Alabama,11/16/2002,"7,126",11/9/2002,"37,736","1,795,445",2.1,,,
Alabama,11/23/2002,"6,051",11/16/2002,"37,546","1,795,445",2.09,,,
Alabama,11/30/2002,"3,942",11/23/2002,"35,008","1,795,445",1.95,,,
Alabama,12/7/2002,"10,806",11/30/2002,"43,623","1,795,445",2.43,,,
Alabama,12/14/2002,"7,117",12/7/2002,"39,539","1,795,445",2.2,,,
Alabama,12/21/2002,"6,838",12/14/2002,"41,122","1,795,445",2.29,,,
Alabama,12/28/2002,"4,012",12/21/2002,"35,652","1,795,445",1.99,,,
Alabama,1/4/2003,"12,526",12/28/2002,"48,229","1,795,445",2.69,,,
Alabama,1/11/2003,"17,975",1/4/2003,"53,802","1,787,038",3.01,,,
