TL,Territory Level and Typology,REG_ID,Region,VAR,Variable,VINTAGE,Vintage,DWELLINGS,Dwellings,MEASURE,Measure,FREQ,Frequency,TIME,Time,Unit Code,Unit,PowerCode Code,PowerCode,Reference Period Code,Reference Period,Value,Flag Codes,Flags
1,Country,USA,United States,RHPI,House Price Index,VINTAGE_EXISTING,Existing,DWELLINGS_SINGLE_F,Single-Family,IXOB,Index publication base,Q,Quarterly,2010-Q1,Q1-2010,IDX,Index,0,Units,2015_100,2015=100,91.332,,
1,Country,USA,United States,RHPI,House Price Index,VINTAGE_EXISTING,Existing,DWELLINGS_SINGLE_F,Single-Family,IXOB,Index publication base,Q,Quarterly,2010-Q2,Q2-2010,IDX,Index,0,Units,2015_100,2015=100,90.506,,
1,Country,USA,United States,RHPI,House Price Index,VINTAGE_EXISTING,Existing,DWELLINGS_SINGLE_F,Single-Family,IXOB,Index publication base,Q,Quarterly,2010-Q3,Q3-2010,IDX,Index,0,Units,2015_100,2015=100,91.385,,
1,Country,USA,United States,RHPI,House Price Index,VINTAGE_EXISTING,Existing,DWELLINGS_SINGLE_F,Single-Family,IXOB,Index publication base,Q,Quarterly,2010-Q4,Q4-2010,IDX,Index,0,Units,2015_100,2015=100,90.733,,
1,Country,USA,United States,RHPI,House Price Index,VINTAGE_EXISTING,Existing,DWELLINGS_SINGLE_F,Single-Family,IXOB,Index publication base,Q,Quarterly,2011-Q1,Q1-2011,IDX,Index,0,Units,2015_100,2015=100,88.219,,
1,Country,USA,United States,RHPI,House Price Index,VINTAGE_EXISTING,Existing,DWELLINGS_SINGLE_F,Single-Family,IXOB,Index publication base,Q,Quarterly,2011-Q2,Q2-2011,IDX,Index,0,Units,2015_100,2015=100,86.672,,
1,Country,USA,United States,RHPI,House Price Index,VINTAGE_EXISTING,Existing,DWELLINGS_SINGLE_F,Single-Family,IXOB,Index publication base,Q,Quarterly,2011-Q3,Q3-2011,IDX,Index,0,Units,2015_100,2015=100,87.321,,
1,Country,USA,United States,RHPI,House Price Index,VINTAGE_EXISTING,Existing,DWELLINGS_SINGLE_F,Single-Family,IXOB,Index publication base,Q,Quarterly,2011-Q4,Q4-2011,IDX,Index,0,Units,2015_100,2015=100,87.721,,
1,Country,USA,United States,RHPI,House Price Index,VINTAGE_EXISTING,Existing,DWELLINGS_SINGLE_F,Single-Family,IXOB,Index publication base,Q,Quarterly,2012-Q1,Q1-2012,IDX,Index,0,Units,2015_100,2015=100,86.803,,
1,Country,USA,United States,RHPI,House Price Index,VINTAGE_EXISTING,Existing,DWELLINGS_SINGLE_F,Single-Family,IXOB,Index publication base,Q,Quarterly,2012-Q2,Q2-2012,IDX,Index,0,Units,2015_100,2015=100,86.414,,
