index,per_capita_disp_pi,disp_personal_inc,population
1959-01-01,1999.226472829858,351.5,175818.0
1959-02-01,2004.6124832428256,352.9,176044.0
1959-03-01,2015.044759862487,355.2,176274.0
1959-04-01,2029.427261859572,358.2,176503.0
1959-05-01,2038.7838594863147,360.3,176723.0
1959-06-01,2049.1201103111543,362.6,176954.0
1959-07-01,2047.311633786285,362.8,177208.0
1959-08-01,2035.1703581832217,361.2,177479.0
1959-09-01,2038.1986442012883,362.3,177755.0
1959-10-01,2041.2748699628144,363.4,178026.0
1959-11-01,2054.713837765674,366.3,178273.0
1959-12-01,2073.903105812755,370.2,178504.0
1960-01-01,2072.376694145592,370.8,178925.0
1960-02-01,2070.530765198577,371.3,179326.0
1960-03-01,2069.4797642829717,371.9,179707.0
1960-04-01,2080.8921123803916,374.7,180067.0
1960-05-01,2084.1647820495764,376.0,180408.0
1960-06-01,2083.2411137178524,376.5,180728.0
1960-07-01,2086.417570762534,377.7,181028.0
1960-08-01,2082.092351137291,377.5,181308.0
1960-09-01,2083.52839447697,378.3,181567.0
1960-10-01,2090.678576732469,380.1,181807.0
1960-11-01,2086.5151132255833,379.8,182026.0
1960-12-01,2075.456166826725,378.2,182225.0
1961-01-01,2093.704085436723,381.9,182404.0
1961-02-01,2101.505220909922,383.8,182631.0
1961-03-01,2106.44894923633,385.2,182867.0
1961-04-01,2106.9877938887525,385.8,183105.0
1961-05-01,2122.8897919109827,389.2,183335.0
1961-06-01,2142.483603163881,393.3,183572.0
1961-07-01,2151.5027879776962,395.5,183825.0
1961-08-01,2150.450024714695,395.9,184101.0
1961-09-01,2151.488198542173,396.7,184384.0
1961-10-01,2170.545994129561,400.8,184654.0
1961-11-01,2188.209843158464,404.6,184900.0
1961-12-01,2199.007178778041,407.1,185129.0
1962-01-01,2195.3417104134405,406.9,185347.0
1962-02-01,2208.5572160753645,409.8,185551.0
1962-03-01,2223.8132664377,413.1,185762.0
1962-04-01,2233.5614928406667,415.4,185981.0
1962-05-01,2233.607767949689,415.9,186201.0
1962-06-01,2232.5212148520054,416.2,186426.0
1962-07-01,2238.2462606608665,417.8,186664.0
1962-08-01,2240.4827630480836,418.8,186924.0
1962-09-01,2249.0397508427222,421.0,187191.0
1962-10-01,2254.4798851954397,422.6,187449.0
1962-11-01,2259.6371580041027,424.1,187685.0
1962-12-01,2266.5708735797343,425.9,187905.0
1963-01-01,2285.8600947302953,430.0,188113.0
1963-02-01,2272.437599575146,427.9,188300.0
1963-03-01,2278.177458033573,429.4,188484.0
1963-04-01,2284.760314810398,431.1,188685.0
1963-05-01,2294.816414686825,433.5,188904.0
1963-06-01,2308.465076931211,436.6,189130.0
1963-07-01,2312.9445685407854,438.0,189369.0
1963-08-01,2321.9022406910335,440.3,189629.0
1963-09-01,2335.5011980304907,443.5,189895.0
1963-10-01,2350.8127922081335,447.0,190147.0
1963-11-01,2355.95081131907,448.5,190369.0
1963-12-01,2376.0298053208794,452.8,190570.0
1964-01-01,2386.731179526428,455.3,190763.0
1964-02-01,2395.3538305237416,457.4,190953.0
1964-03-01,2451.0060372699404,468.5,191146.0
1964-04-01,2463.599970733645,471.4,191346.0
1964-05-01,2473.937261493968,473.9,191557.0
1964-06-01,2483.07939388251,476.2,191778.0
1964-07-01,2494.6617363678974,479.0,192010.0
1964-08-01,2504.499256192329,481.5,192254.0
1964-09-01,2515.2724099239495,484.2,192504.0
1964-10-01,2512.724461577574,484.3,192739.0
1964-11-01,2529.762676023489,488.1,192943.0
1964-12-01,2555.260419093776,493.5,193131.0
1965-01-01,2560.6803650133465,495.0,193308.0
1965-02-01,2560.643417223609,495.4,193467.0
1965-03-01,2570.432537120723,497.7,193625.0
1965-04-01,2574.8326874751674,499.0,193799.0
1965-05-01,2606.3467843371754,505.6,193988.0
1965-06-01,2614.897396946368,507.8,194195.0
1965-07-01,2641.24351905193,513.5,194416.0
1965-08-01,2652.0075008348535,516.2,194645.0
1965-09-01,2719.1231482099147,529.9,194879.0
1965-10-01,2703.797105014967,527.5,195096.0
1965-11-01,2724.74959546097,532.1,195284.0
1965-12-01,2743.840045841519,536.3,195456.0
1966-01-01,2746.2247078429973,537.2,195614.0
1966-02-01,2767.16387413159,541.7,195760.0
1966-03-01,2782.8394967205168,545.2,195915.0
1966-04-01,2779.350193024596,545.0,196089.0
1966-05-01,2784.358680422876,546.5,196275.0
1966-06-01,2800.484562214327,550.2,196466.0
1966-07-01,2812.4539181637438,553.1,196661.0
1966-08-01,2834.822448989958,558.1,196873.0
1966-09-01,2857.4907659211754,563.2,197096.0
1966-10-01,2871.2183798523083,566.5,197303.0
1966-11-01,2886.2951616578475,570.0,197485.0
1966-12-01,2887.368836451577,570.7,197654.0
1967-01-01,2914.8594133883344,576.6,197814.0
1967-02-01,2921.7285883868362,578.4,197965.0
1967-03-01,2942.6313079819506,583.0,198122.0
1967-04-01,2944.217220493527,583.8,198287.0
1967-05-01,2953.3589986495476,586.1,198452.0
1967-06-01,2971.398651744224,590.2,198627.0
1967-07-01,2990.26215721385,594.5,198812.0
1967-08-01,3007.3563403211865,598.5,199012.0
1967-09-01,3012.8707105997632,600.2,199212.0
1967-10-01,3022.9934053810084,602.8,199405.0
1967-11-01,3048.9332491557184,608.5,199578.0
1967-12-01,3056.580535014244,610.5,199733.0
1968-01-01,3085.598206780611,616.7,199864.0
1968-02-01,3118.1870912254735,623.6,199988.0
1968-03-01,3155.9170947174866,631.6,200132.0
1968-04-01,3173.9770826572135,635.7,200285.0
1968-05-01,3196.3242520541385,640.7,200449.0
1968-06-01,3218.0080848963967,645.6,200621.0
1968-07-01,3218.5934403043793,646.3,200802.0
1968-08-01,3232.88407289661,649.8,200997.0
1968-09-01,3241.1664421724413,652.1,201193.0
1968-10-01,3264.0109644549057,657.3,201378.0
1968-11-01,3284.6425594411144,662.0,201544.0
1968-12-01,3300.5934821087703,665.7,201691.0
1969-01-01,3305.404293904004,667.1,201821.0
1969-02-01,3312.173189668832,668.9,201952.0
1969-03-01,3331.6509312590306,673.3,202092.0
1969-04-01,3339.0029963509787,675.3,202246.0
1969-05-01,3387.5278506464315,685.7,202419.0
1969-06-01,3425.1105670510187,693.9,202592.0
1969-07-01,3460.9447817060122,701.8,202777.0
1969-08-01,3488.4522918062507,708.1,202984.0
1969-09-01,3506.9587984015434,712.6,203196.0
1969-10-01,3523.581496649476,716.7,203401.0
1969-11-01,3541.466098198322,721.0,203588.0
1969-12-01,3561.508033882667,725.7,203762.0
1970-01-01,3589.974942259316,732.1,203929.0
1970-02-01,3613.253496143707,737.4,204082.0
1970-03-01,3632.87408321338,742.0,204246.0
1970-04-01,3685.9914720494467,753.8,204504.0
1970-05-01,3678.7010487546345,753.1,204719.0
1970-06-01,3691.794223703407,756.6,204941.0
1970-07-01,3753.886944739587,770.2,205174.0
1970-08-01,3770.847734862573,774.6,205418.0
1970-09-01,3779.465536019916,777.3,205664.0
1970-10-01,3781.337114994221,778.6,205906.0
1970-11-01,3786.4270779261733,780.5,206131.0
1970-12-01,3816.294487090021,787.5,206352.0
1971-01-01,3879.128805665958,801.3,206567.0
1971-02-01,3891.914374981863,804.7,206762.0
1971-03-01,3913.799768071125,810.0,206960.0
1971-04-01,3933.617489609631,814.9,207163.0
1971-05-01,3962.1722503267247,821.6,207361.0
1971-06-01,4059.509929563215,842.6,207562.0
1971-07-01,4010.1842894340402,833.2,207771.0
1971-08-01,4031.288762391946,838.5,207998.0
1971-09-01,4056.572059741632,844.7,208230.0
1971-10-01,4071.9597025665626,848.8,208450.0
1971-11-01,4085.8287642345003,852.5,208648.0
1971-12-01,4119.1596952530535,860.2,208829.0
1972-01-01,4112.178152917139,859.4,208989.0
1972-02-01,4150.389457628254,868.0,209137.0
1972-03-01,4170.588488239313,872.9,209299.0
1972-04-01,4172.03746670104,873.9,209466.0
1972-05-01,4208.266749350061,882.2,209635.0
1972-06-01,4224.754660146513,886.4,209811.0
1972-07-01,4266.951130075338,896.0,209986.0
1972-08-01,4315.410344614302,907.0,210177.0
1972-09-01,4347.392087613307,914.6,210379.0
1972-10-01,4457.467421450553,938.6,210568.0
1972-11-01,4516.487218787221,951.8,210739.0
1972-12-01,4548.06237938768,959.2,210903.0
1973-01-01,4534.879864299489,957.1,211053.0
1973-02-01,4589.771150686359,969.3,211187.0
1973-03-01,4635.723985861444,979.7,211337.0
1973-04-01,4672.835332554764,988.3,211499.0
1973-05-01,4700.8910432670955,995.0,211662.0
1973-06-01,4738.27822573031,1003.7,211828.0
1973-07-01,4763.185079315664,1009.8,212001.0
1973-08-01,4798.035731958471,1018.1,212191.0
1973-09-01,4837.50977013118,1027.4,212382.0
1973-10-01,4903.671990778857,1042.3,212555.0
1973-11-01,4948.051337501763,1052.5,212710.0
1973-12-01,4967.137870609183,1057.3,212859.0
1974-01-01,4974.577822847565,1059.6,213003.0
1974-02-01,4991.484590157782,1063.9,213143.0
1974-03-01,5010.174132385622,1068.6,213286.0
1974-04-01,5038.020586871067,1075.3,213437.0
1974-05-01,5078.651685393258,1084.8,213600.0
1974-06-01,5107.358375824484,1091.8,213770.0
1974-07-01,5160.599771907192,1104.1,213948.0
1974-08-01,5202.573968918111,1114.1,214144.0
1974-09-01,5246.117313353457,1124.5,214349.0
1974-10-01,5296.031472279969,1136.2,214538.0
1974-11-01,5303.114986213578,1138.6,214704.0
1974-12-01,5342.1578072857765,1147.8,214857.0
1975-01-01,5368.422031832854,1154.2,214998.0
1975-02-01,5397.151516278378,1161.1,215132.0
1975-03-01,5416.30279269403,1166.0,215276.0
1975-04-01,5530.129317947623,1191.4,215438.0
1975-05-01,5866.559082941488,1265.1,215646.0
1975-06-01,5698.773804725971,1230.2,215871.0
1975-07-01,5653.357027822513,1221.6,216084.0
1975-08-01,5710.283225609587,1235.1,216294.0
1975-09-01,5747.147674257471,1244.2,216490.0
1975-10-01,5799.8237023430975,1256.7,216679.0
1975-11-01,5827.964823773005,1263.8,216851.0
1975-12-01,5861.400008294434,1272.0,217013.0
