index,purchase_index,fixed_mortgage_30,adjustable_mortgage,fixed_mortgage_15,all_items,all_items_no_fe,shelter,nominal_gdp,personal_income,population,per_capita_income,household_dti,housing_price_index,initial_claims,continued_claims,insured_employees,initial_claims_rate,continued_claims_rate
2010-03-31,211.2,4.967456020423436,4.097238726379996,4.329988452625095,125.442,119.908,130.904,4887949.133333333,4103679.366666666,308468490.0,13303.394200661036,1.729298586674341,91.4844053463289,417736.25,5196732.25,129268605.0,0.32139113202624275,4.016554488406214
2010-05-31,251.08,4.886055071754107,3.9498473262772738,4.276726963113926,125.678,119.945,130.916,4935523.088888889,4153983.344444445,308865301.3333334,13449.085160045006,1.701720589176204,90.93662961892898,407236.0000000001,4343903.4,127442396.0,0.3179045108886709,3.403116697447425
2010-06-30,203.09,4.737211449449287,3.8971342725085667,4.174801527180171,125.521,119.948,131.135,4959310.066666666,4179135.3333333335,309063707.0,13521.924060394449,1.6879443070820683,90.66279803782656,443248.25,4252867.0,127437256.0,0.3428167744481176,3.335327419096651
2010-07-31,173.95,4.563959594130014,3.7876812008962073,4.039851112230344,125.536,119.958,131.258,4976921.799999999,4194508.5,309288228.6666666,13561.751610429566,1.6875854609961396,90.95633812138459,447882.4000000001,4388898.400000001,125938243.2,0.34780567461499334,3.4787889586037695
2010-09-30,173.34,4.345883951761935,3.5419502408406474,3.809755768995745,125.83,120.328,131.158,5012145.266666668,4225254.833333333,309737272.0,13641.405307916359,1.6868721190955882,91.54330681682055,364263.0,3803878.75,125916185.0,0.286900863379137,3.018338570870425
2010-10-31,184.72,4.224793521093676,3.4498250699297746,3.6596201341808743,125.969,120.427,131.228,5030543.411111112,4241483.933333334,309959903.0,13683.900604528742,1.6829577414840438,91.33149876464324,424279.20000000007,3688604.5999999996,125004246.00000001,0.3360184288331398,2.9493073664602494
2010-11-30,177.75,4.297746270806905,3.370833070466426,3.6805178904355107,125.92,120.329,131.29,5048941.555555554,4257713.033333334,310182534.0,13726.401658101073,1.6790445784397063,91.11967575469002,465868.0,3821004.75,124974306.0,0.35904853377188234,3.0454740791276427
2010-12-31,196.47,4.7088257631226975,3.6724703647054904,4.052324616796251,126.143,120.171,131.421,5067339.699999998,4273942.133333333,310405165.0,13768.908456246212,1.6751326273492149,90.90783781914517,520162.75,4145145.75,125028966.5,0.40855464029706945,3.3073076764794065
2011-02-28,186.6,4.950861389347552,3.818030459942515,4.213377510873808,127.363,120.783,131.858,5076148.255555556,4351450.399999999,310779137.00000006,14001.610132597154,1.6603238738370558,89.25718160398011,388096.5,4444107.75,124647762.0,0.30750259787277456,3.5617448281050463
2011-03-31,178.47,4.835578717220394,3.666928140979707,4.07883437426441,128.585,121.103,132.057,5080552.533333334,4390204.533333333,310966123.0,14117.97975358021,1.6529142218429447,88.43192474679628,356444.0,4151029.25,124647695.25,0.2846640894467849,3.3283493767260732
2011-05-31,195.57,4.63710056496982,3.4421896440386455,3.8220540579760414,129.999,121.628,132.305,5126061.53333333,4412857.28888889,311341233.6666666,14173.668829014721,1.6485207723168327,87.40818383901482,367938.25,3475929.25,124696913.75,0.29374022836980385,2.7848311999112982
2011-06-30,197.33,4.509902966156598,3.2847305069891757,3.6938430753493448,129.846,121.77,132.671,5148816.033333333,4424183.666666667,311528789.0,14201.514761317932,1.6463283055732734,86.89636496192331,402922.25,3467535.75,124695204.25,0.3185939477332508,2.7789828487504185
2011-09-30,188.7,4.104890173778861,2.9897591924759954,3.317530232444627,130.635,122.641,133.292,5178367.733333334,4468090.133333334,312195098.0,14311.875379160076,1.6302913724442623,87.48516615617393,332520.25,3198911.75,124923592.0,0.2647477280152458,2.5583002157110983
2011-10-31,176.3,4.066127452479269,3.0267799003343216,3.346719240769865,130.373,122.885,133.549,5200126.866666668,4475872.2111111125,312418458.0,14326.532198617431,1.639847383837917,87.61105700754831,379244.3999999999,3126537.1999999997,125297915.0,0.30030962019715435,2.493851370417483
2011-11-30,171.81,3.99248276252192,2.954752567881564,3.3049924357034794,130.196,122.898,133.694,5221886.000000003,4483654.288888889,312641818.0,14341.187923156158,1.6493992975868157,87.73693797352365,423692.5,3311271.5,125302907.5,0.32438155869537516,2.627549436753285
2011-12-31,190.0,3.9577229522038064,2.883715422412464,3.245624369293581,129.844,122.811,133.931,5243645.133333332,4491436.366666666,312865178.0,14355.842555121299,1.6589471224671024,87.86280907527203,505682.19999999984,3706192.5999999996,125347647.79999998,0.38467325251581613,2.9385749287979124
