month,alabama,alaska,arizona,arkansas,california,colorado,connecticut,delaware,district of columbia,florida,georgia,hawaii,idaho,illinois,indiana,iowa,kansas,kentucky,louisiana,maine,maryland,massachusetts,michigan,minnesota,mississippi,missouri,montana,nebraska,nevada,new hampshire,new jersey,new mexico,new york,north carolina,north dakota,ohio,oklahoma,oregon,pennsylvania,rhode island,south carolina,south dakota,tennessee,texas,utah,vermont,virginia,washington,west virginia,wisconsin,wyoming
2012-05-01,0.084,0.073,0.085,0.073,0.10800000000000001,0.08199999999999999,0.084,0.071,0.091,0.08900000000000001,0.092,0.062,0.075,0.09,0.08199999999999999,0.051,0.057999999999999996,0.08199999999999999,0.069,0.073,0.069,0.067,0.091,0.057,0.08900000000000001,0.07200000000000001,0.059000000000000004,0.039,0.11900000000000001,0.054000000000000006,0.095,0.07,0.08800000000000001,0.095,0.028999999999999998,0.07400000000000001,0.051,0.08900000000000001,0.077,0.10400000000000001,0.09300000000000001,0.040999999999999995,0.08,0.068,0.049,0.049,0.061,0.08,0.073,0.07,0.055999999999999994
2012-06-01,0.083,0.073,0.084,0.073,0.107,0.08199999999999999,0.084,0.071,0.09,0.08800000000000001,0.091,0.061,0.075,0.091,0.08199999999999999,0.051,0.057,0.08199999999999999,0.068,0.073,0.069,0.067,0.091,0.057,0.08900000000000001,0.07200000000000001,0.059000000000000004,0.039,0.11800000000000001,0.055,0.095,0.069,0.08800000000000001,0.095,0.028999999999999998,0.073,0.051,0.08900000000000001,0.077,0.10400000000000001,0.092,0.040999999999999995,0.08,0.068,0.048,0.049,0.06,0.08,0.07400000000000001,0.07,0.055999999999999994
2012-07-01,0.08199999999999999,0.07200000000000001,0.083,0.073,0.105,0.081,0.084,0.071,0.08800000000000001,0.086,0.09,0.059000000000000004,0.07400000000000001,0.09,0.08199999999999999,0.051,0.057,0.08199999999999999,0.067,0.07200000000000001,0.069,0.067,0.09,0.057,0.08800000000000001,0.071,0.059000000000000004,0.039,0.11599999999999999,0.055999999999999994,0.095,0.069,0.087,0.095,0.028999999999999998,0.073,0.051,0.08800000000000001,0.078,0.10300000000000001,0.09,0.040999999999999995,0.08,0.067,0.048,0.049,0.059000000000000004,0.078,0.07400000000000001,0.07,0.055
2012-08-01,0.081,0.07200000000000001,0.08199999999999999,0.07200000000000001,0.10300000000000001,0.079,0.084,0.071,0.087,0.085,0.08900000000000001,0.057,0.073,0.09,0.08199999999999999,0.05,0.055999999999999994,0.08199999999999999,0.066,0.07200000000000001,0.069,0.067,0.09,0.057,0.08800000000000001,0.07,0.057999999999999996,0.038,0.114,0.055999999999999994,0.094,0.069,0.086,0.095,0.028999999999999998,0.07200000000000001,0.051,0.087,0.078,0.10099999999999999,0.08800000000000001,0.040999999999999995,0.079,0.066,0.047,0.048,0.059000000000000004,0.076,0.07400000000000001,0.069,0.055
2012-09-01,0.079,0.071,0.081,0.07200000000000001,0.102,0.078,0.084,0.071,0.086,0.084,0.08800000000000001,0.055,0.07200000000000001,0.09,0.08199999999999999,0.05,0.055999999999999994,0.081,0.065,0.07200000000000001,0.068,0.067,0.09,0.055999999999999994,0.087,0.07,0.057,0.038,0.11199999999999999,0.055999999999999994,0.094,0.069,0.086,0.095,0.028999999999999998,0.07200000000000001,0.051,0.087,0.077,0.1,0.087,0.04,0.078,0.065,0.047,0.048,0.057999999999999996,0.07400000000000001,0.07400000000000001,0.069,0.054000000000000006
2012-10-01,0.078,0.071,0.081,0.07200000000000001,0.1,0.076,0.083,0.071,0.086,0.083,0.087,0.053,0.07200000000000001,0.09,0.08199999999999999,0.05,0.055999999999999994,0.081,0.064,0.071,0.068,0.067,0.09,0.055999999999999994,0.087,0.07,0.055999999999999994,0.038,0.111,0.055999999999999994,0.09300000000000001,0.069,0.085,0.095,0.03,0.07200000000000001,0.051,0.086,0.077,0.098,0.086,0.04,0.078,0.065,0.046,0.047,0.057,0.07200000000000001,0.073,0.068,0.053
2012-11-01,0.078,0.071,0.081,0.07200000000000001,0.099,0.075,0.083,0.071,0.086,0.08199999999999999,0.087,0.052000000000000005,0.071,0.09,0.08199999999999999,0.049,0.055999999999999994,0.081,0.065,0.071,0.068,0.067,0.09,0.055,0.086,0.07,0.055999999999999994,0.038,0.109,0.055999999999999994,0.09300000000000001,0.07,0.084,0.095,0.03,0.073,0.051,0.086,0.077,0.09699999999999999,0.085,0.039,0.078,0.065,0.046,0.047,0.057,0.071,0.073,0.068,0.052000000000000005
2012-12-01,0.077,0.071,0.081,0.07200000000000001,0.098,0.07400000000000001,0.083,0.071,0.087,0.081,0.086,0.051,0.071,0.091,0.08199999999999999,0.049,0.055999999999999994,0.08,0.066,0.071,0.068,0.067,0.09,0.054000000000000006,0.086,0.07,0.055,0.038,0.10800000000000001,0.055999999999999994,0.092,0.07,0.084,0.094,0.03,0.07400000000000001,0.051,0.085,0.077,0.096,0.084,0.039,0.079,0.065,0.046,0.046,0.057,0.069,0.07200000000000001,0.069,0.052000000000000005
2013-01-01,0.076,0.071,0.081,0.07200000000000001,0.09699999999999999,0.073,0.083,0.071,0.087,0.08,0.086,0.05,0.07,0.092,0.08199999999999999,0.049,0.055999999999999994,0.08,0.067,0.071,0.068,0.067,0.09,0.054000000000000006,0.087,0.069,0.055,0.038,0.107,0.055999999999999994,0.091,0.07,0.083,0.094,0.03,0.075,0.052000000000000005,0.084,0.076,0.096,0.084,0.039,0.08,0.065,0.045,0.046,0.055999999999999994,0.069,0.071,0.069,0.051
2013-02-01,0.076,0.07,0.081,0.07200000000000001,0.095,0.07200000000000001,0.083,0.07,0.087,0.08,0.086,0.049,0.07,0.09300000000000001,0.08199999999999999,0.049,0.055,0.08,0.068,0.07,0.068,0.068,0.09,0.053,0.087,0.069,0.055,0.038,0.106,0.055,0.09,0.07,0.08199999999999999,0.091,0.03,0.076,0.052000000000000005,0.083,0.075,0.095,0.083,0.038,0.08,0.066,0.044000000000000004,0.046,0.055999999999999994,0.067,0.069,0.069,0.05
2013-03-01,0.075,0.07,0.08,0.07200000000000001,0.094,0.071,0.08199999999999999,0.07,0.087,0.079,0.085,0.049,0.07,0.09300000000000001,0.081,0.049,0.055,0.08,0.068,0.07,0.067,0.068,0.08900000000000001,0.052000000000000005,0.087,0.069,0.055,0.038,0.105,0.055,0.08900000000000001,0.069,0.081,0.08800000000000001,0.03,0.076,0.052000000000000005,0.08199999999999999,0.07400000000000001,0.095,0.081,0.038,0.08,0.065,0.044000000000000004,0.046,0.055999999999999994,0.067,0.068,0.069,0.049
2013-04-01,0.07400000000000001,0.07,0.08,0.07200000000000001,0.09300000000000001,0.07,0.08199999999999999,0.069,0.086,0.078,0.084,0.048,0.07,0.09300000000000001,0.08,0.049,0.054000000000000006,0.08,0.067,0.069,0.067,0.068,0.08900000000000001,0.052000000000000005,0.087,0.069,0.055,0.038,0.10400000000000001,0.054000000000000006,0.08800000000000001,0.069,0.08,0.085,0.028999999999999998,0.076,0.052000000000000005,0.08,0.073,0.095,0.079,0.038,0.08,0.065,0.043,0.045,0.055999999999999994,0.067,0.067,0.069,0.048
2013-05-01,0.073,0.07,0.079,0.07200000000000001,0.092,0.069,0.081,0.068,0.085,0.076,0.083,0.047,0.07,0.092,0.078,0.048,0.054000000000000006,0.08,0.067,0.068,0.066,0.067,0.08800000000000001,0.051,0.086,0.068,0.054000000000000006,0.037000000000000005,0.102,0.053,0.087,0.069,0.079,0.08199999999999999,0.028999999999999998,0.076,0.051,0.079,0.07200000000000001,0.095,0.077,0.038,0.079,0.064,0.043,0.045,0.055999999999999994,0.067,0.066,0.068,0.047
2013-06-01,0.073,0.07,0.079,0.071,0.091,0.068,0.081,0.067,0.085,0.076,0.08199999999999999,0.047,0.069,0.092,0.077,0.048,0.054000000000000006,0.08,0.066,0.067,0.066,0.067,0.08800000000000001,0.051,0.085,0.068,0.054000000000000006,0.037000000000000005,0.10099999999999999,0.052000000000000005,0.085,0.069,0.079,0.078,0.028999999999999998,0.076,0.051,0.078,0.071,0.096,0.075,0.037000000000000005,0.079,0.064,0.042,0.045,0.055999999999999994,0.067,0.066,0.067,0.047
